event_idx,slice_idx,class,mean_time,station
1,0,4.0,2017-05-25T08:58:34.135000Z,ILL08
1,1,4.0,2017-05-25T08:58:47.135000Z,ILL08
1,2,4.0,2017-05-25T08:59:00.135000Z,ILL08
1,3,4.0,2017-05-25T08:59:13.135000Z,ILL08
2,0,4.0,2017-05-25T09:36:18.708300Z,ILL08
2,1,4.0,2017-05-25T09:36:31.708300Z,ILL08
2,2,4.0,2017-05-25T09:36:44.708300Z,ILL08
2,3,4.0,2017-05-25T09:36:57.708300Z,ILL08
3,0,4.0,2017-05-29T11:41:12.270300Z,ILL08
3,1,4.0,2017-05-29T11:41:25.270300Z,ILL08
4,0,4.0,2017-05-29T16:32:07.291300Z,ILL08
5,0,4.0,2017-05-29T17:38:33.643900Z,ILL08
6,0,4.0,2017-05-29T17:42:03.633500Z,ILL08
6,1,4.0,2017-05-29T17:42:16.633500Z,ILL08
6,2,4.0,2017-05-29T17:42:29.633500Z,ILL08
7,0,4.0,2017-05-29T17:44:40.173300Z,ILL08
7,1,4.0,2017-05-29T17:44:53.173300Z,ILL08
8,0,4.0,2017-05-29T17:53:52.667600Z,ILL08
8,1,4.0,2017-05-29T17:54:05.667600Z,ILL08
8,2,4.0,2017-05-29T17:54:18.667600Z,ILL08
8,3,4.0,2017-05-29T17:54:31.667600Z,ILL08
9,0,4.0,2017-06-02T05:43:20.015700Z,ILL08
9,1,4.0,2017-06-02T05:43:33.015700Z,ILL08
10,0,4.0,2017-06-02T07:00:15.196500Z,ILL08
10,1,4.0,2017-06-02T07:00:28.196500Z,ILL08
10,2,4.0,2017-06-02T07:00:41.196500Z,ILL08
11,0,4.0,2017-06-02T12:58:09.546100Z,ILL08
11,1,4.0,2017-06-02T12:58:22.546100Z,ILL08
11,2,4.0,2017-06-02T12:58:35.546100Z,ILL08
12,0,4.0,2017-06-04T13:44:00.775100Z,ILL08
12,1,4.0,2017-06-04T13:44:13.775100Z,ILL08
12,2,4.0,2017-06-04T13:44:26.775100Z,ILL08
13,0,4.0,2017-06-04T19:54:04.831600Z,ILL08
14,0,4.0,2017-06-04T20:59:52.920600Z,ILL08
16,0,4.0,2017-06-05T14:10:25.436000Z,ILL08
16,1,4.0,2017-06-05T14:10:38.436000Z,ILL08
17,0,4.0,2017-06-05T20:37:30.921000Z,ILL08
17,1,4.0,2017-06-05T20:37:43.921000Z,ILL08
17,2,4.0,2017-06-05T20:37:56.921000Z,ILL08
17,3,4.0,2017-06-05T20:38:09.921000Z,ILL08
17,4,4.0,2017-06-05T20:38:22.921000Z,ILL08
18,0,4.0,2017-06-06T04:06:25.936000Z,ILL08
18,1,4.0,2017-06-06T04:06:38.936000Z,ILL08
18,2,4.0,2017-06-06T04:06:51.936000Z,ILL08
19,0,4.0,2017-06-06T07:24:39.169800Z,ILL08
20,0,4.0,2017-06-06T07:28:03.790100Z,ILL08
20,1,4.0,2017-06-06T07:28:16.790100Z,ILL08
21,0,4.0,2017-06-06T11:20:16.994700Z,ILL08
21,1,4.0,2017-06-06T11:20:29.994700Z,ILL08
21,2,4.0,2017-06-06T11:20:42.994700Z,ILL08
21,3,4.0,2017-06-06T11:20:55.994700Z,ILL08
22,0,4.0,2017-06-06T14:37:42.772900Z,ILL08
23,0,4.0,2017-06-07T20:48:34.898100Z,ILL08
23,1,4.0,2017-06-07T20:48:47.898100Z,ILL08
23,2,4.0,2017-06-07T20:49:00.898100Z,ILL08
23,3,4.0,2017-06-07T20:49:13.898100Z,ILL08
24,0,4.0,2017-06-08T06:57:06.410000Z,ILL08
24,1,4.0,2017-06-08T06:57:19.410000Z,ILL08
25,0,4.0,2017-06-08T13:46:40.545600Z,ILL08
25,1,4.0,2017-06-08T13:46:53.545600Z,ILL08
25,2,4.0,2017-06-08T13:47:06.545600Z,ILL08
25,3,4.0,2017-06-08T13:47:19.545600Z,ILL08
25,4,4.0,2017-06-08T13:47:32.545600Z,ILL08
25,5,4.0,2017-06-08T13:47:45.545600Z,ILL08
25,6,4.0,2017-06-08T13:47:58.545600Z,ILL08
25,7,4.0,2017-06-08T13:48:11.545600Z,ILL08
25,8,4.0,2017-06-08T13:48:24.545600Z,ILL08
25,9,4.0,2017-06-08T13:48:37.545600Z,ILL08
25,10,4.0,2017-06-08T13:48:50.545600Z,ILL08
25,11,4.0,2017-06-08T13:49:03.545600Z,ILL08
25,12,4.0,2017-06-08T13:49:16.545600Z,ILL08
25,13,4.0,2017-06-08T13:49:29.545600Z,ILL08
25,14,4.0,2017-06-08T13:49:42.545600Z,ILL08
25,15,4.0,2017-06-08T13:49:55.545600Z,ILL08
25,16,4.0,2017-06-08T13:50:08.545600Z,ILL08
26,0,4.0,2017-06-10T10:51:11.036200Z,ILL08
26,1,4.0,2017-06-10T10:51:24.036200Z,ILL08
26,2,4.0,2017-06-10T10:51:37.036200Z,ILL08
26,3,4.0,2017-06-10T10:51:50.036200Z,ILL08
26,4,4.0,2017-06-10T10:52:03.036200Z,ILL08
27,0,4.0,2017-06-10T11:36:55.941800Z,ILL08
27,1,4.0,2017-06-10T11:37:08.941800Z,ILL08
28,0,4.0,2017-06-14T06:16:39.649300Z,ILL08
29,0,4.0,2017-06-14T13:09:28.852600Z,ILL08
29,1,4.0,2017-06-14T13:09:41.852600Z,ILL08
30,0,4.0,2017-06-14T13:10:48.972200Z,ILL08
30,1,4.0,2017-06-14T13:11:01.972200Z,ILL08
30,2,4.0,2017-06-14T13:11:14.972200Z,ILL08
31,0,4.0,2017-06-14T13:14:26.502400Z,ILL08
31,1,4.0,2017-06-14T13:14:39.502400Z,ILL08
32,0,4.0,2017-06-14T13:20:20.192900Z,ILL08
32,1,4.0,2017-06-14T13:20:33.192900Z,ILL08
32,2,4.0,2017-06-14T13:20:46.192900Z,ILL08
33,0,4.0,2017-06-14T13:23:34.359200Z,ILL08
33,1,4.0,2017-06-14T13:23:47.359200Z,ILL08
34,0,4.0,2017-06-14T18:38:35.767900Z,ILL08
34,1,4.0,2017-06-14T18:38:48.767900Z,ILL08
35,0,4.0,2017-06-14T18:39:50.696500Z,ILL08
35,1,4.0,2017-06-14T18:40:03.696500Z,ILL08
35,2,4.0,2017-06-14T18:40:16.696500Z,ILL08
36,0,4.0,2017-06-14T18:41:49.241300Z,ILL08
