event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:06:49.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:02.321900Z,ILL08
0,2,3.0,2017-06-01T04:07:15.321900Z,ILL08
0,3,3.0,2017-06-01T04:07:28.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:14.015700Z,ILL08
1,1,4.0,2017-06-02T05:43:27.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:17.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:30.196500Z,ILL08
2,2,4.0,2017-06-02T07:00:43.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:45.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:58.426100Z,ILL08
3,2,1.0,2017-06-02T10:06:11.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:24.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:37.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:09.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:22.546100Z,ILL08
4,2,4.0,2017-06-02T12:58:35.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:10.736900Z,ILL08
6,0,1.0,2017-06-02T21:03:06.534100Z,ILL08
6,1,1.0,2017-06-02T21:03:19.534100Z,ILL08
7,0,1.0,2017-06-02T22:36:39.622100Z,ILL08
7,1,1.0,2017-06-02T22:36:52.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:05.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:18.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:31.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:44.622100Z,ILL08
7,6,1.0,2017-06-02T22:37:57.622100Z,ILL08
7,7,1.0,2017-06-02T22:38:10.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:58.328600Z,ILL08
8,1,3.0,2017-06-03T00:02:11.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:29.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:42.651500Z,ILL08
9,2,3.0,2017-06-03T08:09:55.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:32.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:45.867300Z,ILL08
10,2,1.0,2017-06-03T13:25:58.867300Z,ILL08
10,3,1.0,2017-06-03T13:26:11.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:24.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:37.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:50.867300Z,ILL08
11,0,1.0,2017-06-04T01:40:43.024000Z,ILL08
12,0,3.0,2017-06-04T03:01:50.607200Z,ILL08
12,1,3.0,2017-06-04T03:02:03.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:12.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:25.775100Z,ILL08
13,2,4.0,2017-06-04T13:44:38.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:21.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:34.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:47.488000Z,ILL08
14,3,1.0,2017-06-04T18:02:00.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:13.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:26.488000Z,ILL08
14,6,1.0,2017-06-04T18:02:39.488000Z,ILL08
16,0,4.0,2017-06-04T20:59:55.920600Z,ILL08
17,0,4.0,2017-06-04T21:29:45.712800Z,ILL08
18,0,4.0,2017-06-05T14:10:22.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:35.436000Z,ILL08
19,0,3.0,2017-06-05T16:51:13.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:26.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:39.921000Z,ILL08
20,1,4.0,2017-06-05T20:37:52.921000Z,ILL08
20,2,4.0,2017-06-05T20:38:05.921000Z,ILL08
20,3,4.0,2017-06-05T20:38:18.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:02.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:15.094700Z,ILL08
21,2,3.0,2017-06-06T02:31:28.094700Z,ILL08
21,3,3.0,2017-06-06T02:31:41.094700Z,ILL08
21,4,3.0,2017-06-06T02:31:54.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:25.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:38.936000Z,ILL08
22,2,4.0,2017-06-06T04:06:51.936000Z,ILL08
23,0,1.0,2017-06-06T07:18:02.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:15.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:28.471700Z,ILL08
23,3,1.0,2017-06-06T07:18:41.471700Z,ILL08
23,4,1.0,2017-06-06T07:18:54.471700Z,ILL08
24,0,4.0,2017-06-06T07:24:49.169800Z,ILL08
25,0,4.0,2017-06-06T07:28:03.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:16.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:13.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:26.994700Z,ILL08
26,2,4.0,2017-06-06T11:20:39.994700Z,ILL08
26,3,4.0,2017-06-06T11:20:52.994700Z,ILL08
27,0,4.0,2017-06-06T14:37:49.772900Z,ILL08
28,0,1.0,2017-06-07T11:09:18.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:25.898100Z,ILL08
29,1,4.0,2017-06-07T20:48:38.898100Z,ILL08
29,2,4.0,2017-06-07T20:48:51.898100Z,ILL08
29,3,4.0,2017-06-07T20:49:04.898100Z,ILL08
29,4,4.0,2017-06-07T20:49:17.898100Z,ILL08
30,0,4.0,2017-06-08T06:57:03.410000Z,ILL08
30,1,4.0,2017-06-08T06:57:16.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:22.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:35.545600Z,ILL08
31,2,4.0,2017-06-08T13:46:48.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:01.545600Z,ILL08
31,4,4.0,2017-06-08T13:47:14.545600Z,ILL08
31,5,4.0,2017-06-08T13:47:27.545600Z,ILL08
31,6,4.0,2017-06-08T13:47:40.545600Z,ILL08
31,7,4.0,2017-06-08T13:47:53.545600Z,ILL08
31,8,4.0,2017-06-08T13:48:06.545600Z,ILL08
31,9,4.0,2017-06-08T13:48:19.545600Z,ILL08
31,10,4.0,2017-06-08T13:48:32.545600Z,ILL08
31,11,4.0,2017-06-08T13:48:45.545600Z,ILL08
31,12,4.0,2017-06-08T13:48:58.545600Z,ILL08
31,13,4.0,2017-06-08T13:49:11.545600Z,ILL08
31,14,4.0,2017-06-08T13:49:24.545600Z,ILL08
31,15,4.0,2017-06-08T13:49:37.545600Z,ILL08
31,16,4.0,2017-06-08T13:49:50.545600Z,ILL08
31,17,4.0,2017-06-08T13:50:03.545600Z,ILL08
32,0,4.0,2017-06-10T10:51:28.036200Z,ILL08
32,1,4.0,2017-06-10T10:51:41.036200Z,ILL08
32,2,4.0,2017-06-10T10:51:54.036200Z,ILL08
33,0,4.0,2017-06-10T11:36:58.941800Z,ILL08
33,1,4.0,2017-06-10T11:37:11.941800Z,ILL08
34,0,1.0,2017-06-12T12:31:59.475800Z,ILL08
34,1,1.0,2017-06-12T12:32:12.475800Z,ILL08
34,2,1.0,2017-06-12T12:32:25.475800Z,ILL08
34,3,1.0,2017-06-12T12:32:38.475800Z,ILL08
