event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:06:54.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:07.321900Z,ILL08
0,2,3.0,2017-06-01T04:07:20.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:35.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:17.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:30.196500Z,ILL08
2,2,4.0,2017-06-02T07:00:43.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:32.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:45.426100Z,ILL08
3,2,1.0,2017-06-02T10:05:58.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:11.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:24.426100Z,ILL08
3,5,1.0,2017-06-02T10:06:37.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:09.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:22.546100Z,ILL08
4,2,4.0,2017-06-02T12:58:35.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:13.736900Z,ILL08
6,0,1.0,2017-06-02T21:03:13.534100Z,ILL08
7,0,1.0,2017-06-02T22:36:51.622100Z,ILL08
7,1,1.0,2017-06-02T22:37:04.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:17.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:30.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:43.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:56.622100Z,ILL08
7,6,1.0,2017-06-02T22:38:09.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:49.328600Z,ILL08
8,1,3.0,2017-06-03T00:02:02.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:25.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:38.651500Z,ILL08
9,2,3.0,2017-06-03T08:09:51.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:36.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:49.867300Z,ILL08
10,2,1.0,2017-06-03T13:26:02.867300Z,ILL08
10,3,1.0,2017-06-03T13:26:15.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:28.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:41.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:54.867300Z,ILL08
12,0,3.0,2017-06-04T03:01:50.607200Z,ILL08
12,1,3.0,2017-06-04T03:02:03.607200Z,ILL08
13,0,4.0,2017-06-04T13:43:59.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:12.775100Z,ILL08
13,2,4.0,2017-06-04T13:44:25.775100Z,ILL08
13,3,4.0,2017-06-04T13:44:38.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:11.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:24.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:37.488000Z,ILL08
14,3,1.0,2017-06-04T18:01:50.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:03.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:16.488000Z,ILL08
14,6,1.0,2017-06-04T18:02:29.488000Z,ILL08
14,7,1.0,2017-06-04T18:02:42.488000Z,ILL08
15,0,4.0,2017-06-04T19:54:04.831600Z,ILL08
16,0,4.0,2017-06-04T20:59:55.920600Z,ILL08
18,0,4.0,2017-06-05T14:10:08.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:21.436000Z,ILL08
18,2,4.0,2017-06-05T14:10:34.436000Z,ILL08
