event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:07:04.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:17.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:23.015700Z,ILL08
1,1,4.0,2017-06-02T05:43:36.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:20.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:33.196500Z,ILL08
2,2,4.0,2017-06-02T07:00:46.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:49.426100Z,ILL08
3,1,1.0,2017-06-02T10:06:02.426100Z,ILL08
3,2,1.0,2017-06-02T10:06:15.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:28.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:41.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:12.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:25.546100Z,ILL08
4,2,4.0,2017-06-02T12:58:38.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:00.736900Z,ILL08
5,1,1.0,2017-06-02T19:05:13.736900Z,ILL08
7,0,1.0,2017-06-02T22:36:51.622100Z,ILL08
7,1,1.0,2017-06-02T22:37:04.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:17.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:30.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:43.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:56.622100Z,ILL08
7,6,1.0,2017-06-02T22:38:09.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:51.328600Z,ILL08
8,1,3.0,2017-06-03T00:02:04.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:34.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:47.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:36.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:49.867300Z,ILL08
10,2,1.0,2017-06-03T13:26:02.867300Z,ILL08
10,3,1.0,2017-06-03T13:26:15.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:28.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:41.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:54.867300Z,ILL08
11,0,1.0,2017-06-04T01:40:41.024000Z,ILL08
12,0,3.0,2017-06-04T03:01:55.607200Z,ILL08
12,1,3.0,2017-06-04T03:02:08.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:09.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:22.775100Z,ILL08
13,2,4.0,2017-06-04T13:44:35.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:15.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:28.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:41.488000Z,ILL08
14,3,1.0,2017-06-04T18:01:54.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:07.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:20.488000Z,ILL08
14,6,1.0,2017-06-04T18:02:33.488000Z,ILL08
16,0,4.0,2017-06-04T20:59:54.920600Z,ILL08
18,0,4.0,2017-06-05T14:10:21.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:34.436000Z,ILL08
18,2,4.0,2017-06-05T14:10:47.436000Z,ILL08
19,0,3.0,2017-06-05T16:50:55.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:08.501000Z,ILL08
19,2,3.0,2017-06-05T16:51:21.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:33.921000Z,ILL08
20,1,4.0,2017-06-05T20:37:46.921000Z,ILL08
20,2,4.0,2017-06-05T20:37:59.921000Z,ILL08
20,3,4.0,2017-06-05T20:38:12.921000Z,ILL08
20,4,4.0,2017-06-05T20:38:25.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:09.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:22.094700Z,ILL08
21,2,3.0,2017-06-06T02:31:35.094700Z,ILL08
21,3,3.0,2017-06-06T02:31:48.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:31.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:44.936000Z,ILL08
22,2,4.0,2017-06-06T04:06:57.936000Z,ILL08
23,0,1.0,2017-06-06T07:18:06.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:19.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:32.471700Z,ILL08
23,3,1.0,2017-06-06T07:18:45.471700Z,ILL08
24,0,4.0,2017-06-06T07:24:39.169800Z,ILL08
25,0,4.0,2017-06-06T07:28:02.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:15.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:32.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:45.994700Z,ILL08
28,0,1.0,2017-06-07T11:09:02.383700Z,ILL08
28,1,1.0,2017-06-07T11:09:15.383700Z,ILL08
28,2,1.0,2017-06-07T11:09:28.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:39.898100Z,ILL08
29,1,4.0,2017-06-07T20:48:52.898100Z,ILL08
29,2,4.0,2017-06-07T20:49:05.898100Z,ILL08
29,3,4.0,2017-06-07T20:49:18.898100Z,ILL08
30,0,4.0,2017-06-08T06:57:05.410000Z,ILL08
30,1,4.0,2017-06-08T06:57:18.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:34.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:47.545600Z,ILL08
31,2,4.0,2017-06-08T13:47:00.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:13.545600Z,ILL08
31,4,4.0,2017-06-08T13:47:26.545600Z,ILL08
31,5,4.0,2017-06-08T13:47:39.545600Z,ILL08
31,6,4.0,2017-06-08T13:47:52.545600Z,ILL08
31,7,4.0,2017-06-08T13:48:05.545600Z,ILL08
31,8,4.0,2017-06-08T13:48:18.545600Z,ILL08
31,9,4.0,2017-06-08T13:48:31.545600Z,ILL08
31,10,4.0,2017-06-08T13:48:44.545600Z,ILL08
31,11,4.0,2017-06-08T13:48:57.545600Z,ILL08
31,12,4.0,2017-06-08T13:49:10.545600Z,ILL08
31,13,4.0,2017-06-08T13:49:23.545600Z,ILL08
31,14,4.0,2017-06-08T13:49:36.545600Z,ILL08
31,15,4.0,2017-06-08T13:49:49.545600Z,ILL08
31,16,4.0,2017-06-08T13:50:02.545600Z,ILL08
32,0,4.0,2017-06-10T10:51:24.036200Z,ILL08
32,1,4.0,2017-06-10T10:51:37.036200Z,ILL08
32,2,4.0,2017-06-10T10:51:50.036200Z,ILL08
32,3,4.0,2017-06-10T10:52:03.036200Z,ILL08
33,0,4.0,2017-06-10T11:37:10.941800Z,ILL08
34,0,1.0,2017-06-12T12:31:57.475800Z,ILL08
34,1,1.0,2017-06-12T12:32:10.475800Z,ILL08
34,2,1.0,2017-06-12T12:32:23.475800Z,ILL08
34,3,1.0,2017-06-12T12:32:36.475800Z,ILL08
34,4,1.0,2017-06-12T12:32:49.475800Z,ILL08
34,5,1.0,2017-06-12T12:33:02.475800Z,ILL08
34,6,1.0,2017-06-12T12:33:15.475800Z,ILL08
35,0,1.0,2017-06-13T19:09:54.569300Z,ILL08
35,1,1.0,2017-06-13T19:10:07.569300Z,ILL08
35,2,1.0,2017-06-13T19:10:20.569300Z,ILL08
