event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:07:04.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:17.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:30.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:18.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:31.196500Z,ILL08
2,2,4.0,2017-06-02T07:00:44.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:30.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:43.426100Z,ILL08
3,2,1.0,2017-06-02T10:05:56.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:09.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:22.426100Z,ILL08
3,5,1.0,2017-06-02T10:06:35.426100Z,ILL08
3,6,1.0,2017-06-02T10:06:48.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:23.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:36.546100Z,ILL08
5,0,1.0,2017-06-02T19:04:58.736900Z,ILL08
5,1,1.0,2017-06-02T19:05:11.736900Z,ILL08
6,0,1.0,2017-06-02T21:03:06.534100Z,ILL08
6,1,1.0,2017-06-02T21:03:19.534100Z,ILL08
7,0,1.0,2017-06-02T22:36:38.622100Z,ILL08
7,1,1.0,2017-06-02T22:36:51.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:04.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:17.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:30.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:43.622100Z,ILL08
7,6,1.0,2017-06-02T22:37:56.622100Z,ILL08
7,7,1.0,2017-06-02T22:38:09.622100Z,ILL08
8,0,3.0,2017-06-03T00:02:09.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:31.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:44.651500Z,ILL08
9,2,3.0,2017-06-03T08:09:57.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:19.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:32.867300Z,ILL08
10,2,1.0,2017-06-03T13:25:45.867300Z,ILL08
10,3,1.0,2017-06-03T13:25:58.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:11.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:24.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:37.867300Z,ILL08
10,7,1.0,2017-06-03T13:26:50.867300Z,ILL08
11,0,1.0,2017-06-04T01:40:49.024000Z,ILL08
12,0,3.0,2017-06-04T03:01:54.607200Z,ILL08
12,1,3.0,2017-06-04T03:02:07.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:17.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:30.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:26.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:39.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:52.488000Z,ILL08
14,3,1.0,2017-06-04T18:02:05.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:18.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:31.488000Z,ILL08
14,6,1.0,2017-06-04T18:02:44.488000Z,ILL08
15,0,4.0,2017-06-04T19:54:03.831600Z,ILL08
15,1,4.0,2017-06-04T19:54:16.831600Z,ILL08
16,0,4.0,2017-06-04T20:59:52.920600Z,ILL08
17,0,4.0,2017-06-04T21:29:46.712800Z,ILL08
18,0,4.0,2017-06-05T14:10:25.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:38.436000Z,ILL08
19,0,3.0,2017-06-05T16:51:14.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:27.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:31.921000Z,ILL08
20,1,4.0,2017-06-05T20:37:44.921000Z,ILL08
20,2,4.0,2017-06-05T20:37:57.921000Z,ILL08
20,3,4.0,2017-06-05T20:38:10.921000Z,ILL08
20,4,4.0,2017-06-05T20:38:23.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:07.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:20.094700Z,ILL08
21,2,3.0,2017-06-06T02:31:33.094700Z,ILL08
21,3,3.0,2017-06-06T02:31:46.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:38.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:51.936000Z,ILL08
23,0,1.0,2017-06-06T07:18:10.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:23.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:36.471700Z,ILL08
23,3,1.0,2017-06-06T07:18:49.471700Z,ILL08
24,0,4.0,2017-06-06T07:24:39.169800Z,ILL08
25,0,4.0,2017-06-06T07:27:48.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:01.790100Z,ILL08
25,2,4.0,2017-06-06T07:28:14.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:24.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:37.994700Z,ILL08
26,2,4.0,2017-06-06T11:20:50.994700Z,ILL08
27,0,4.0,2017-06-06T14:37:53.772900Z,ILL08
28,0,1.0,2017-06-07T11:09:07.383700Z,ILL08
28,1,1.0,2017-06-07T11:09:20.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:22.898100Z,ILL08
29,1,4.0,2017-06-07T20:48:35.898100Z,ILL08
29,2,4.0,2017-06-07T20:48:48.898100Z,ILL08
29,3,4.0,2017-06-07T20:49:01.898100Z,ILL08
29,4,4.0,2017-06-07T20:49:14.898100Z,ILL08
30,0,4.0,2017-06-08T06:56:56.410000Z,ILL08
30,1,4.0,2017-06-08T06:57:09.410000Z,ILL08
30,2,4.0,2017-06-08T06:57:22.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:26.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:39.545600Z,ILL08
31,2,4.0,2017-06-08T13:46:52.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:05.545600Z,ILL08
31,4,4.0,2017-06-08T13:47:18.545600Z,ILL08
31,5,4.0,2017-06-08T13:47:31.545600Z,ILL08
31,6,4.0,2017-06-08T13:47:44.545600Z,ILL08
31,7,4.0,2017-06-08T13:47:57.545600Z,ILL08
31,8,4.0,2017-06-08T13:48:10.545600Z,ILL08
31,9,4.0,2017-06-08T13:48:23.545600Z,ILL08
31,10,4.0,2017-06-08T13:48:36.545600Z,ILL08
31,11,4.0,2017-06-08T13:48:49.545600Z,ILL08
31,12,4.0,2017-06-08T13:49:02.545600Z,ILL08
31,13,4.0,2017-06-08T13:49:15.545600Z,ILL08
31,14,4.0,2017-06-08T13:49:28.545600Z,ILL08
31,15,4.0,2017-06-08T13:49:41.545600Z,ILL08
31,16,4.0,2017-06-08T13:49:54.545600Z,ILL08
31,17,4.0,2017-06-08T13:50:07.545600Z,ILL08
32,0,4.0,2017-06-10T10:51:34.036200Z,ILL08
32,1,4.0,2017-06-10T10:51:47.036200Z,ILL08
32,2,4.0,2017-06-10T10:52:00.036200Z,ILL08
33,0,4.0,2017-06-10T11:37:10.941800Z,ILL08
34,0,1.0,2017-06-12T12:31:57.475800Z,ILL08
34,1,1.0,2017-06-12T12:32:10.475800Z,ILL08
34,2,1.0,2017-06-12T12:32:23.475800Z,ILL08
