event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:07:11.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:24.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:21.015700Z,ILL08
1,1,4.0,2017-06-02T05:43:34.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:25.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:38.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:28.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:41.426100Z,ILL08
3,2,1.0,2017-06-02T10:05:54.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:07.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:20.426100Z,ILL08
3,5,1.0,2017-06-02T10:06:33.426100Z,ILL08
3,6,1.0,2017-06-02T10:06:46.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:08.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:21.546100Z,ILL08
4,2,4.0,2017-06-02T12:58:34.546100Z,ILL08
5,0,1.0,2017-06-02T19:04:54.736900Z,ILL08
5,1,1.0,2017-06-02T19:05:07.736900Z,ILL08
7,0,1.0,2017-06-02T22:36:31.622100Z,ILL08
7,1,1.0,2017-06-02T22:36:44.622100Z,ILL08
7,2,1.0,2017-06-02T22:36:57.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:10.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:23.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:36.622100Z,ILL08
7,6,1.0,2017-06-02T22:37:49.622100Z,ILL08
7,7,1.0,2017-06-02T22:38:02.622100Z,ILL08
7,8,1.0,2017-06-02T22:38:15.622100Z,ILL08
8,0,3.0,2017-06-03T00:02:05.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:23.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:36.651500Z,ILL08
9,2,3.0,2017-06-03T08:09:49.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:20.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:33.867300Z,ILL08
10,2,1.0,2017-06-03T13:25:46.867300Z,ILL08
10,3,1.0,2017-06-03T13:25:59.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:12.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:25.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:38.867300Z,ILL08
10,7,1.0,2017-06-03T13:26:51.867300Z,ILL08
12,0,3.0,2017-06-04T03:01:48.607200Z,ILL08
12,1,3.0,2017-06-04T03:02:01.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:08.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:21.775100Z,ILL08
13,2,4.0,2017-06-04T13:44:34.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:26.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:39.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:52.488000Z,ILL08
14,3,1.0,2017-06-04T18:02:05.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:18.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:31.488000Z,ILL08
14,6,1.0,2017-06-04T18:02:44.488000Z,ILL08
16,0,4.0,2017-06-04T20:59:58.920600Z,ILL08
17,0,4.0,2017-06-04T21:29:43.712800Z,ILL08
18,0,4.0,2017-06-05T14:10:22.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:35.436000Z,ILL08
19,0,3.0,2017-06-05T16:51:06.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:19.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:43.921000Z,ILL08
20,1,4.0,2017-06-05T20:37:56.921000Z,ILL08
20,2,4.0,2017-06-05T20:38:09.921000Z,ILL08
20,3,4.0,2017-06-05T20:38:22.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:24.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:37.094700Z,ILL08
21,2,3.0,2017-06-06T02:31:50.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:33.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:46.936000Z,ILL08
22,2,4.0,2017-06-06T04:06:59.936000Z,ILL08
23,0,1.0,2017-06-06T07:17:48.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:01.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:14.471700Z,ILL08
23,3,1.0,2017-06-06T07:18:27.471700Z,ILL08
23,4,1.0,2017-06-06T07:18:40.471700Z,ILL08
23,5,1.0,2017-06-06T07:18:53.471700Z,ILL08
24,0,4.0,2017-06-06T07:24:43.169800Z,ILL08
25,0,4.0,2017-06-06T07:28:04.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:17.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:12.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:25.994700Z,ILL08
26,2,4.0,2017-06-06T11:20:38.994700Z,ILL08
26,3,4.0,2017-06-06T11:20:51.994700Z,ILL08
27,0,4.0,2017-06-06T14:37:48.772900Z,ILL08
28,0,1.0,2017-06-07T11:09:02.383700Z,ILL08
28,1,1.0,2017-06-07T11:09:15.383700Z,ILL08
28,2,1.0,2017-06-07T11:09:28.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:28.898100Z,ILL08
29,1,4.0,2017-06-07T20:48:41.898100Z,ILL08
29,2,4.0,2017-06-07T20:48:54.898100Z,ILL08
29,3,4.0,2017-06-07T20:49:07.898100Z,ILL08
29,4,4.0,2017-06-07T20:49:20.898100Z,ILL08
30,0,4.0,2017-06-08T06:57:11.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:22.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:35.545600Z,ILL08
31,2,4.0,2017-06-08T13:46:48.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:01.545600Z,ILL08
31,4,4.0,2017-06-08T13:47:14.545600Z,ILL08
31,5,4.0,2017-06-08T13:47:27.545600Z,ILL08
31,6,4.0,2017-06-08T13:47:40.545600Z,ILL08
31,7,4.0,2017-06-08T13:47:53.545600Z,ILL08
31,8,4.0,2017-06-08T13:48:06.545600Z,ILL08
31,9,4.0,2017-06-08T13:48:19.545600Z,ILL08
31,10,4.0,2017-06-08T13:48:32.545600Z,ILL08
31,11,4.0,2017-06-08T13:48:45.545600Z,ILL08
31,12,4.0,2017-06-08T13:48:58.545600Z,ILL08
31,13,4.0,2017-06-08T13:49:11.545600Z,ILL08
31,14,4.0,2017-06-08T13:49:24.545600Z,ILL08
