event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:06:55.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:08.321900Z,ILL08
0,2,3.0,2017-06-01T04:07:21.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:28.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:14.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:27.196500Z,ILL08
2,2,4.0,2017-06-02T07:00:40.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:41.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:54.426100Z,ILL08
3,2,1.0,2017-06-02T10:06:07.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:20.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:33.426100Z,ILL08
3,5,1.0,2017-06-02T10:06:46.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:22.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:35.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:03.736900Z,ILL08
5,1,1.0,2017-06-02T19:05:16.736900Z,ILL08
7,0,1.0,2017-06-02T22:36:28.622100Z,ILL08
7,1,1.0,2017-06-02T22:36:41.622100Z,ILL08
7,2,1.0,2017-06-02T22:36:54.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:07.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:20.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:33.622100Z,ILL08
7,6,1.0,2017-06-02T22:37:46.622100Z,ILL08
7,7,1.0,2017-06-02T22:37:59.622100Z,ILL08
7,8,1.0,2017-06-02T22:38:12.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:45.328600Z,ILL08
8,1,3.0,2017-06-03T00:01:58.328600Z,ILL08
8,2,3.0,2017-06-03T00:02:11.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:30.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:43.651500Z,ILL08
9,2,3.0,2017-06-03T08:09:56.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:32.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:45.867300Z,ILL08
10,2,1.0,2017-06-03T13:25:58.867300Z,ILL08
