event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:07:05.321900Z,ILL08
0,1,3.0,2017-06-01T04:07:18.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:25.015700Z,ILL08
1,1,4.0,2017-06-02T05:43:38.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:27.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:40.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:37.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:50.426100Z,ILL08
3,2,1.0,2017-06-02T10:06:03.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:16.426100Z,ILL08
3,4,1.0,2017-06-02T10:06:29.426100Z,ILL08
3,5,1.0,2017-06-02T10:06:42.426100Z,ILL08
4,0,4.0,2017-06-02T12:57:58.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:11.546100Z,ILL08
4,2,4.0,2017-06-02T12:58:24.546100Z,ILL08
4,3,4.0,2017-06-02T12:58:37.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:14.736900Z,ILL08
6,0,1.0,2017-06-02T21:03:22.534100Z,ILL08
7,0,1.0,2017-06-02T22:36:48.622100Z,ILL08
7,1,1.0,2017-06-02T22:37:01.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:14.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:27.622100Z,ILL08
7,4,1.0,2017-06-02T22:37:40.622100Z,ILL08
7,5,1.0,2017-06-02T22:37:53.622100Z,ILL08
7,6,1.0,2017-06-02T22:38:06.622100Z,ILL08
7,7,1.0,2017-06-02T22:38:19.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:49.328600Z,ILL08
8,1,3.0,2017-06-03T00:02:02.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:36.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:49.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:28.867300Z,ILL08
10,1,1.0,2017-06-03T13:25:41.867300Z,ILL08
10,2,1.0,2017-06-03T13:25:54.867300Z,ILL08
10,3,1.0,2017-06-03T13:26:07.867300Z,ILL08
10,4,1.0,2017-06-03T13:26:20.867300Z,ILL08
10,5,1.0,2017-06-03T13:26:33.867300Z,ILL08
10,6,1.0,2017-06-03T13:26:46.867300Z,ILL08
12,0,3.0,2017-06-04T03:02:05.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:10.775100Z,ILL08
13,1,4.0,2017-06-04T13:44:23.775100Z,ILL08
13,2,4.0,2017-06-04T13:44:36.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:30.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:43.488000Z,ILL08
14,2,1.0,2017-06-04T18:01:56.488000Z,ILL08
14,3,1.0,2017-06-04T18:02:09.488000Z,ILL08
14,4,1.0,2017-06-04T18:02:22.488000Z,ILL08
14,5,1.0,2017-06-04T18:02:35.488000Z,ILL08
15,0,4.0,2017-06-04T19:54:14.831600Z,ILL08
16,0,4.0,2017-06-04T20:59:48.920600Z,ILL08
16,1,4.0,2017-06-04T21:00:01.920600Z,ILL08
17,0,4.0,2017-06-04T21:29:32.712800Z,ILL08
17,1,4.0,2017-06-04T21:29:45.712800Z,ILL08
18,0,4.0,2017-06-05T14:10:15.436000Z,ILL08
18,1,4.0,2017-06-05T14:10:28.436000Z,ILL08
18,2,4.0,2017-06-05T14:10:41.436000Z,ILL08
19,0,3.0,2017-06-05T16:51:10.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:23.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:36.921000Z,ILL08
20,1,4.0,2017-06-05T20:37:49.921000Z,ILL08
20,2,4.0,2017-06-05T20:38:02.921000Z,ILL08
20,3,4.0,2017-06-05T20:38:15.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:09.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:22.094700Z,ILL08
21,2,3.0,2017-06-06T02:31:35.094700Z,ILL08
21,3,3.0,2017-06-06T02:31:48.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:14.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:27.936000Z,ILL08
22,2,4.0,2017-06-06T04:06:40.936000Z,ILL08
22,3,4.0,2017-06-06T04:06:53.936000Z,ILL08
23,0,1.0,2017-06-06T07:18:12.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:25.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:38.471700Z,ILL08
23,3,1.0,2017-06-06T07:18:51.471700Z,ILL08
25,0,4.0,2017-06-06T07:27:53.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:06.790100Z,ILL08
25,2,4.0,2017-06-06T07:28:19.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:24.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:37.994700Z,ILL08
26,2,4.0,2017-06-06T11:20:50.994700Z,ILL08
27,0,4.0,2017-06-06T14:37:42.772900Z,ILL08
28,0,1.0,2017-06-07T11:09:18.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:22.898100Z,ILL08
29,1,4.0,2017-06-07T20:48:35.898100Z,ILL08
29,2,4.0,2017-06-07T20:48:48.898100Z,ILL08
29,3,4.0,2017-06-07T20:49:01.898100Z,ILL08
29,4,4.0,2017-06-07T20:49:14.898100Z,ILL08
30,0,4.0,2017-06-08T06:57:11.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:31.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:44.545600Z,ILL08
31,2,4.0,2017-06-08T13:46:57.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:10.545600Z,ILL08
31,4,4.0,2017-06-08T13:47:23.545600Z,ILL08
31,5,4.0,2017-06-08T13:47:36.545600Z,ILL08
31,6,4.0,2017-06-08T13:47:49.545600Z,ILL08
31,7,4.0,2017-06-08T13:48:02.545600Z,ILL08
31,8,4.0,2017-06-08T13:48:15.545600Z,ILL08
31,9,4.0,2017-06-08T13:48:28.545600Z,ILL08
31,10,4.0,2017-06-08T13:48:41.545600Z,ILL08
31,11,4.0,2017-06-08T13:48:54.545600Z,ILL08
31,12,4.0,2017-06-08T13:49:07.545600Z,ILL08
31,13,4.0,2017-06-08T13:49:20.545600Z,ILL08
31,14,4.0,2017-06-08T13:49:33.545600Z,ILL08
31,15,4.0,2017-06-08T13:49:46.545600Z,ILL08
31,16,4.0,2017-06-08T13:49:59.545600Z,ILL08
31,17,4.0,2017-06-08T13:50:12.545600Z,ILL08
32,0,4.0,2017-06-10T10:51:11.036200Z,ILL08
32,1,4.0,2017-06-10T10:51:24.036200Z,ILL08
32,2,4.0,2017-06-10T10:51:37.036200Z,ILL08
32,3,4.0,2017-06-10T10:51:50.036200Z,ILL08
32,4,4.0,2017-06-10T10:52:03.036200Z,ILL08
33,0,4.0,2017-06-10T11:36:52.941800Z,ILL08
33,1,4.0,2017-06-10T11:37:05.941800Z,ILL08
34,0,1.0,2017-06-12T12:32:01.475800Z,ILL08
34,1,1.0,2017-06-12T12:32:14.475800Z,ILL08
34,2,1.0,2017-06-12T12:32:27.475800Z,ILL08
34,3,1.0,2017-06-12T12:32:40.475800Z,ILL08
34,4,1.0,2017-06-12T12:32:53.475800Z,ILL08
34,5,1.0,2017-06-12T12:33:06.475800Z,ILL08
34,6,1.0,2017-06-12T12:33:19.475800Z,ILL08
35,0,1.0,2017-06-13T19:10:09.569300Z,ILL08
35,1,1.0,2017-06-13T19:10:22.569300Z,ILL08
36,0,1.0,2017-06-13T19:13:24.988800Z,ILL08
37,0,1.0,2017-06-13T20:40:28.168400Z,ILL08
37,1,1.0,2017-06-13T20:40:41.168400Z,ILL08
38,0,1.0,2017-06-13T22:30:55.023900Z,ILL08
38,1,1.0,2017-06-13T22:31:08.023900Z,ILL08
38,2,1.0,2017-06-13T22:31:21.023900Z,ILL08
38,3,1.0,2017-06-13T22:31:34.023900Z,ILL08
38,4,1.0,2017-06-13T22:31:47.023900Z,ILL08
38,5,1.0,2017-06-13T22:32:00.023900Z,ILL08
38,6,1.0,2017-06-13T22:32:13.023900Z,ILL08
38,7,1.0,2017-06-13T22:32:26.023900Z,ILL08
38,8,1.0,2017-06-13T22:32:39.023900Z,ILL08
38,9,1.0,2017-06-13T22:32:52.023900Z,ILL08
38,10,1.0,2017-06-13T22:33:05.023900Z,ILL08
38,11,1.0,2017-06-13T22:33:18.023900Z,ILL08
38,12,1.0,2017-06-13T22:33:31.023900Z,ILL08
39,0,4.0,2017-06-14T06:16:30.649300Z,ILL08
39,1,4.0,2017-06-14T06:16:43.649300Z,ILL08
40,0,4.0,2017-06-14T13:09:11.852600Z,ILL08
40,1,4.0,2017-06-14T13:09:24.852600Z,ILL08
40,2,4.0,2017-06-14T13:09:37.852600Z,ILL08
40,3,4.0,2017-06-14T13:09:50.852600Z,ILL08
41,0,4.0,2017-06-14T13:10:53.972200Z,ILL08
41,1,4.0,2017-06-14T13:11:06.972200Z,ILL08
42,0,4.0,2017-06-14T13:14:14.502400Z,ILL08
42,1,4.0,2017-06-14T13:14:27.502400Z,ILL08
42,2,4.0,2017-06-14T13:14:40.502400Z,ILL08
43,0,4.0,2017-06-14T13:20:13.192900Z,ILL08
43,1,4.0,2017-06-14T13:20:26.192900Z,ILL08
43,2,4.0,2017-06-14T13:20:39.192900Z,ILL08
43,3,4.0,2017-06-14T13:20:52.192900Z,ILL08
44,0,4.0,2017-06-14T13:23:17.359200Z,ILL08
44,1,4.0,2017-06-14T13:23:30.359200Z,ILL08
44,2,4.0,2017-06-14T13:23:43.359200Z,ILL08
45,0,1.0,2017-06-14T22:12:03.017400Z,ILL08
46,0,3.0,2017-06-15T02:49:14.643800Z,ILL08
46,1,3.0,2017-06-15T02:49:27.643800Z,ILL08
46,2,3.0,2017-06-15T02:49:40.643800Z,ILL08
46,3,3.0,2017-06-15T02:49:53.643800Z,ILL08
46,4,3.0,2017-06-15T02:50:06.643800Z,ILL08
47,0,1.0,2017-06-16T23:46:04.342400Z,ILL08
47,1,1.0,2017-06-16T23:46:17.342400Z,ILL08
47,2,1.0,2017-06-16T23:46:30.342400Z,ILL08
47,3,1.0,2017-06-16T23:46:43.342400Z,ILL08
47,4,1.0,2017-06-16T23:46:56.342400Z,ILL08
47,5,1.0,2017-06-16T23:47:09.342400Z,ILL08
47,6,1.0,2017-06-16T23:47:22.342400Z,ILL08
47,7,1.0,2017-06-16T23:47:35.342400Z,ILL08
47,8,1.0,2017-06-16T23:47:48.342400Z,ILL08
47,9,1.0,2017-06-16T23:48:01.342400Z,ILL08
