,event_idx,slice_idx,class,mean_time,station
0,0,0,4,2017-06-14T18:38:27.048900Z,ILL06
1,0,1,4,2017-06-14T18:38:40.048900Z,ILL06
2,0,2,4,2017-06-14T18:38:53.048900Z,ILL06
3,1,0,4,2017-06-14T18:38:24.027600Z,ILL07
4,1,1,4,2017-06-14T18:38:37.027600Z,ILL07
5,1,2,4,2017-06-14T18:38:50.027600Z,ILL07
6,2,0,4,2017-06-14T18:38:42.767900Z,ILL08
7,2,1,4,2017-06-14T18:38:55.767900Z,ILL08
8,3,0,4,2017-06-14T18:39:55.943500Z,ILL06
9,3,1,4,2017-06-14T18:40:08.943500Z,ILL06
10,4,0,4,2017-06-14T18:39:58.118000Z,ILL07
11,4,1,4,2017-06-14T18:40:11.118000Z,ILL07
12,5,0,4,2017-06-14T18:39:52.696500Z,ILL08
13,5,1,4,2017-06-14T18:40:05.696500Z,ILL08
14,6,0,4,2017-06-14T18:41:36.620200Z,ILL06
15,6,1,4,2017-06-14T18:41:49.620200Z,ILL06
16,7,0,4,2017-06-14T18:41:44.892500Z,ILL07
17,8,0,4,2017-06-14T18:41:40.241300Z,ILL08
18,8,1,4,2017-06-14T18:41:53.241300Z,ILL08
19,9,0,4,2017-06-14T18:43:16.940200Z,ILL06
20,10,0,4,2017-06-14T18:43:17.114600Z,ILL07
21,11,0,4,2017-06-14T18:43:12.169900Z,ILL08
22,11,1,4,2017-06-14T18:43:25.169900Z,ILL08
23,12,0,4,2017-06-14T18:44:59.497700Z,ILL06
24,13,0,4,2017-06-14T18:44:45.280600Z,ILL07
25,13,1,4,2017-06-14T18:44:58.280600Z,ILL07
26,14,0,4,2017-06-14T18:44:49.054900Z,ILL08
27,14,1,4,2017-06-14T18:45:02.054900Z,ILL08
28,15,0,4,2017-06-14T18:46:04.084400Z,ILL06
29,16,0,4,2017-06-14T18:46:06.897200Z,ILL07
30,17,0,4,2017-06-14T18:46:09.812600Z,ILL08
31,18,0,4,2017-06-14T18:48:05.774000Z,ILL06
32,19,0,4,2017-06-14T18:48:02.353700Z,ILL07
33,20,0,4,2017-06-14T18:47:55.410400Z,ILL08
34,20,1,4,2017-06-14T18:48:08.410400Z,ILL08
35,21,0,4,2017-06-14T18:49:34.126900Z,ILL07
36,22,0,4,2017-06-14T18:49:14.317700Z,ILL06
37,22,1,4,2017-06-14T18:49:27.317700Z,ILL06
38,22,2,4,2017-06-14T18:49:40.317700Z,ILL06
39,23,0,4,2017-06-14T18:49:26.381600Z,ILL08
40,23,1,4,2017-06-14T18:49:39.381600Z,ILL08
41,24,0,4,2017-06-14T18:50:35.280900Z,ILL06
42,25,0,4,2017-06-14T18:50:11.807400Z,ILL07
43,25,1,4,2017-06-14T18:50:24.807400Z,ILL07
44,25,2,4,2017-06-14T18:50:37.807400Z,ILL07
45,26,0,4,2017-06-14T18:50:28.047700Z,ILL08
46,26,1,4,2017-06-14T18:50:41.047700Z,ILL08
47,27,0,4,2017-06-14T18:50:54.105400Z,ILL06
48,27,1,4,2017-06-14T18:51:07.105400Z,ILL06
49,28,0,4,2017-06-14T18:51:10.784000Z,ILL07
50,29,0,4,2017-06-14T18:51:15.791200Z,ILL08
51,30,0,4,2017-06-14T18:52:04.086500Z,ILL06
52,30,1,4,2017-06-14T18:52:17.086500Z,ILL06
53,31,0,4,2017-06-14T18:51:54.563600Z,ILL07
54,31,1,4,2017-06-14T18:52:07.563600Z,ILL07
55,31,2,4,2017-06-14T18:52:20.563600Z,ILL07
56,32,0,4,2017-06-14T18:52:32.111700Z,ILL08
57,33,0,4,2017-06-14T18:54:13.080300Z,ILL07
58,34,0,4,2017-06-14T18:54:10.702300Z,ILL08
59,34,1,4,2017-06-14T18:54:23.702300Z,ILL08
60,35,0,3,2017-06-14T19:11:39.812300Z,ILL08
61,35,1,3,2017-06-14T19:11:52.812300Z,ILL08
62,35,2,3,2017-06-14T19:12:05.812300Z,ILL08
63,35,3,3,2017-06-14T19:12:18.812300Z,ILL08
64,35,4,3,2017-06-14T19:12:31.812300Z,ILL08
65,35,5,3,2017-06-14T19:12:44.812300Z,ILL08
66,35,6,3,2017-06-14T19:12:57.812300Z,ILL08
67,35,7,3,2017-06-14T19:13:10.812300Z,ILL08
68,35,8,3,2017-06-14T19:13:23.812300Z,ILL08
69,35,9,3,2017-06-14T19:13:36.812300Z,ILL08
70,35,10,3,2017-06-14T19:13:49.812300Z,ILL08
71,35,11,3,2017-06-14T19:14:02.812300Z,ILL08
72,35,12,3,2017-06-14T19:14:15.812300Z,ILL08
73,35,13,3,2017-06-14T19:14:28.812300Z,ILL08
74,35,14,3,2017-06-14T19:14:41.812300Z,ILL08
75,35,15,3,2017-06-14T19:14:54.812300Z,ILL08
76,35,16,3,2017-06-14T19:15:07.812300Z,ILL08
77,35,17,3,2017-06-14T19:15:20.812300Z,ILL08
78,35,18,3,2017-06-14T19:15:33.812300Z,ILL08
79,35,19,3,2017-06-14T19:15:46.812300Z,ILL08
80,35,20,3,2017-06-14T19:15:59.812300Z,ILL08
81,37,0,4,2017-06-14T19:18:18.914500Z,ILL07
82,37,1,4,2017-06-14T19:18:31.914500Z,ILL07
83,38,0,4,2017-06-14T19:18:25.651700Z,ILL08
84,38,1,4,2017-06-14T19:18:38.651700Z,ILL08
85,39,0,4,2017-06-14T19:20:36.459900Z,ILL06
86,40,0,4,2017-06-14T19:20:36.263900Z,ILL07
87,41,0,4,2017-06-14T19:20:50.669300Z,ILL08
88,43,0,4,2017-06-14T19:22:40.673400Z,ILL07
89,44,0,4,2017-06-14T19:22:47.346000Z,ILL08
