event_idx,slice_idx,class,mean_time,station
0,0,3.0,2017-06-01T04:07:09.321900Z,ILL08
1,0,4.0,2017-06-02T05:43:32.015700Z,ILL08
2,0,4.0,2017-06-02T07:00:24.196500Z,ILL08
2,1,4.0,2017-06-02T07:00:50.196500Z,ILL08
3,0,1.0,2017-06-02T10:05:30.426100Z,ILL08
3,1,1.0,2017-06-02T10:05:56.426100Z,ILL08
3,2,1.0,2017-06-02T10:06:22.426100Z,ILL08
3,3,1.0,2017-06-02T10:06:48.426100Z,ILL08
4,0,4.0,2017-06-02T12:58:06.546100Z,ILL08
4,1,4.0,2017-06-02T12:58:32.546100Z,ILL08
5,0,1.0,2017-06-02T19:05:05.736900Z,ILL08
6,0,1.0,2017-06-02T21:03:07.534100Z,ILL08
7,0,1.0,2017-06-02T22:36:33.622100Z,ILL08
7,1,1.0,2017-06-02T22:36:59.622100Z,ILL08
7,2,1.0,2017-06-02T22:37:25.622100Z,ILL08
7,3,1.0,2017-06-02T22:37:51.622100Z,ILL08
7,4,1.0,2017-06-02T22:38:17.622100Z,ILL08
8,0,3.0,2017-06-03T00:01:55.328600Z,ILL08
9,0,3.0,2017-06-03T08:09:16.651500Z,ILL08
9,1,3.0,2017-06-03T08:09:42.651500Z,ILL08
10,0,1.0,2017-06-03T13:25:37.867300Z,ILL08
10,1,1.0,2017-06-03T13:26:03.867300Z,ILL08
10,2,1.0,2017-06-03T13:26:29.867300Z,ILL08
10,3,1.0,2017-06-03T13:26:55.867300Z,ILL08
11,0,1.0,2017-06-04T01:40:46.024000Z,ILL08
12,0,3.0,2017-06-04T03:02:10.607200Z,ILL08
13,0,4.0,2017-06-04T13:44:18.775100Z,ILL08
14,0,1.0,2017-06-04T18:01:28.488000Z,ILL08
14,1,1.0,2017-06-04T18:01:54.488000Z,ILL08
14,2,1.0,2017-06-04T18:02:20.488000Z,ILL08
15,0,4.0,2017-06-04T19:54:05.831600Z,ILL08
18,0,4.0,2017-06-05T14:10:27.436000Z,ILL08
19,0,3.0,2017-06-05T16:50:51.501000Z,ILL08
19,1,3.0,2017-06-05T16:51:17.501000Z,ILL08
20,0,4.0,2017-06-05T20:37:35.921000Z,ILL08
20,1,4.0,2017-06-05T20:38:01.921000Z,ILL08
20,2,4.0,2017-06-05T20:38:27.921000Z,ILL08
21,0,3.0,2017-06-06T02:31:22.094700Z,ILL08
21,1,3.0,2017-06-06T02:31:48.094700Z,ILL08
22,0,4.0,2017-06-06T04:06:28.936000Z,ILL08
22,1,4.0,2017-06-06T04:06:54.936000Z,ILL08
23,0,1.0,2017-06-06T07:17:56.471700Z,ILL08
23,1,1.0,2017-06-06T07:18:22.471700Z,ILL08
23,2,1.0,2017-06-06T07:18:48.471700Z,ILL08
24,0,4.0,2017-06-06T07:24:34.169800Z,ILL08
25,0,4.0,2017-06-06T07:27:46.790100Z,ILL08
25,1,4.0,2017-06-06T07:28:12.790100Z,ILL08
26,0,4.0,2017-06-06T11:20:25.994700Z,ILL08
26,1,4.0,2017-06-06T11:20:51.994700Z,ILL08
27,0,4.0,2017-06-06T14:37:33.772900Z,ILL08
28,0,1.0,2017-06-07T11:09:16.383700Z,ILL08
29,0,4.0,2017-06-07T20:48:37.898100Z,ILL08
29,1,4.0,2017-06-07T20:49:03.898100Z,ILL08
30,0,4.0,2017-06-08T06:56:51.410000Z,ILL08
30,1,4.0,2017-06-08T06:57:17.410000Z,ILL08
31,0,4.0,2017-06-08T13:46:20.545600Z,ILL08
31,1,4.0,2017-06-08T13:46:46.545600Z,ILL08
31,2,4.0,2017-06-08T13:47:12.545600Z,ILL08
31,3,4.0,2017-06-08T13:47:38.545600Z,ILL08
31,4,4.0,2017-06-08T13:48:04.545600Z,ILL08
31,5,4.0,2017-06-08T13:48:30.545600Z,ILL08
31,6,4.0,2017-06-08T13:48:56.545600Z,ILL08
31,7,4.0,2017-06-08T13:49:22.545600Z,ILL08
31,8,4.0,2017-06-08T13:49:48.545600Z,ILL08
32,0,4.0,2017-06-10T10:51:15.036200Z,ILL08
32,1,4.0,2017-06-10T10:51:41.036200Z,ILL08
33,0,4.0,2017-06-10T11:37:11.941800Z,ILL08
34,0,1.0,2017-06-12T12:32:05.475800Z,ILL08
34,1,1.0,2017-06-12T12:32:31.475800Z,ILL08
34,2,1.0,2017-06-12T12:32:57.475800Z,ILL08
34,3,1.0,2017-06-12T12:33:23.475800Z,ILL08
35,0,1.0,2017-06-13T19:10:04.569300Z,ILL08
35,1,1.0,2017-06-13T19:10:30.569300Z,ILL08
36,0,1.0,2017-06-13T19:13:23.988800Z,ILL08
37,0,1.0,2017-06-13T20:40:35.168400Z,ILL08
38,0,1.0,2017-06-13T22:30:53.023900Z,ILL08
38,1,1.0,2017-06-13T22:31:19.023900Z,ILL08
38,2,1.0,2017-06-13T22:31:45.023900Z,ILL08
38,3,1.0,2017-06-13T22:32:11.023900Z,ILL08
38,4,1.0,2017-06-13T22:32:37.023900Z,ILL08
38,5,1.0,2017-06-13T22:33:03.023900Z,ILL08
38,6,1.0,2017-06-13T22:33:29.023900Z,ILL08
39,0,4.0,2017-06-14T06:16:26.649300Z,ILL08
40,0,4.0,2017-06-14T13:09:31.852600Z,ILL08
41,0,4.0,2017-06-14T13:10:41.972200Z,ILL08
41,1,4.0,2017-06-14T13:11:07.972200Z,ILL08
42,0,4.0,2017-06-14T13:14:24.502400Z,ILL08
43,0,4.0,2017-06-14T13:20:16.192900Z,ILL08
43,1,4.0,2017-06-14T13:20:42.192900Z,ILL08
44,0,4.0,2017-06-14T13:23:24.359200Z,ILL08
44,1,4.0,2017-06-14T13:23:50.359200Z,ILL08
45,0,1.0,2017-06-14T22:11:52.017400Z,ILL08
46,0,3.0,2017-06-15T02:49:31.643800Z,ILL08
46,1,3.0,2017-06-15T02:49:57.643800Z,ILL08
47,0,1.0,2017-06-16T23:45:58.342400Z,ILL08
47,1,1.0,2017-06-16T23:46:24.342400Z,ILL08
47,2,1.0,2017-06-16T23:46:50.342400Z,ILL08
47,3,1.0,2017-06-16T23:47:16.342400Z,ILL08
47,4,1.0,2017-06-16T23:47:42.342400Z,ILL08
47,5,1.0,2017-06-16T23:48:08.342400Z,ILL08
47,6,1.0,2017-06-16T23:48:34.342400Z,ILL08
47,7,1.0,2017-06-16T23:49:00.342400Z,ILL08
47,8,1.0,2017-06-16T23:49:26.342400Z,ILL08
47,9,1.0,2017-06-16T23:49:52.342400Z,ILL08
48,0,1.0,2017-06-17T19:53:34.968700Z,ILL08
48,1,1.0,2017-06-17T19:54:00.968700Z,ILL08
48,2,1.0,2017-06-17T19:54:26.968700Z,ILL08
48,3,1.0,2017-06-17T19:54:52.968700Z,ILL08
48,4,1.0,2017-06-17T19:55:18.968700Z,ILL08
48,5,1.0,2017-06-17T19:55:44.968700Z,ILL08
49,0,1.0,2017-06-18T07:11:14.394700Z,ILL08
50,0,1.0,2017-06-18T13:12:13.234600Z,ILL08
51,0,1.0,2017-06-20T01:38:04.336600Z,ILL08
51,1,1.0,2017-06-20T01:38:30.336600Z,ILL08
51,2,1.0,2017-06-20T01:38:56.336600Z,ILL08
51,3,1.0,2017-06-20T01:39:22.336600Z,ILL08
51,4,1.0,2017-06-20T01:39:48.336600Z,ILL08
52,0,1.0,2017-07-01T08:10:36.807000Z,ILL08
52,1,1.0,2017-07-01T08:11:02.807000Z,ILL08
52,2,1.0,2017-07-01T08:11:28.807000Z,ILL08
52,3,1.0,2017-07-01T08:11:54.807000Z,ILL08
53,0,1.0,2017-07-01T09:30:00.737200Z,ILL08
53,1,1.0,2017-07-01T09:30:26.737200Z,ILL08
54,0,1.0,2017-07-03T11:20:55.266800Z,ILL08
54,1,1.0,2017-07-03T11:21:21.266800Z,ILL08
54,2,1.0,2017-07-03T11:21:47.266800Z,ILL08
54,3,1.0,2017-07-03T11:22:13.266800Z,ILL08
54,4,1.0,2017-07-03T11:22:39.266800Z,ILL08
54,5,1.0,2017-07-03T11:23:05.266800Z,ILL08
54,6,1.0,2017-07-03T11:23:31.266800Z,ILL08
54,7,1.0,2017-07-03T11:23:57.266800Z,ILL08
54,8,1.0,2017-07-03T11:24:23.266800Z,ILL08
54,9,1.0,2017-07-03T11:24:49.266800Z,ILL08
55,0,1.0,2017-07-03T18:15:37.490100Z,ILL08
55,1,1.0,2017-07-03T18:16:03.490100Z,ILL08
56,0,1.0,2017-07-08T00:18:14.942300Z,ILL08
56,1,1.0,2017-07-08T00:18:40.942300Z,ILL08
56,2,1.0,2017-07-08T00:19:06.942300Z,ILL08
56,3,1.0,2017-07-08T00:19:32.942300Z,ILL08
57,0,1.0,2017-07-10T02:19:56.075600Z,ILL08
58,0,1.0,2017-07-20T22:35:10.350700Z,ILL08
58,1,1.0,2017-07-20T22:35:36.350700Z,ILL08
58,2,1.0,2017-07-20T22:36:02.350700Z,ILL08
58,3,1.0,2017-07-20T22:36:28.350700Z,ILL08
58,4,1.0,2017-07-20T22:36:54.350700Z,ILL08
58,5,1.0,2017-07-20T22:37:20.350700Z,ILL08
58,6,1.0,2017-07-20T22:37:46.350700Z,ILL08
58,7,1.0,2017-07-20T22:38:12.350700Z,ILL08
58,8,1.0,2017-07-20T22:38:38.350700Z,ILL08
58,9,1.0,2017-07-20T22:39:04.350700Z,ILL08
58,10,1.0,2017-07-20T22:39:30.350700Z,ILL08
58,11,1.0,2017-07-20T22:39:56.350700Z,ILL08
58,12,1.0,2017-07-20T22:40:22.350700Z,ILL08
59,0,1.0,2017-07-21T17:04:25.594000Z,ILL08
59,1,1.0,2017-07-21T17:04:51.594000Z,ILL08
59,2,1.0,2017-07-21T17:05:17.594000Z,ILL08
59,3,1.0,2017-07-21T17:05:43.594000Z,ILL08
59,4,1.0,2017-07-21T17:06:09.594000Z,ILL08
60,0,1.0,2017-07-31T19:30:32.999200Z,ILL08
60,1,1.0,2017-07-31T19:30:58.999200Z,ILL08
60,2,1.0,2017-07-31T19:31:24.999200Z,ILL08
61,0,1.0,2017-07-31T19:44:29.727700Z,ILL08
61,1,1.0,2017-07-31T19:44:55.727700Z,ILL08
62,0,1.0,2017-08-01T00:26:54.400700Z,ILL08
62,1,1.0,2017-08-01T00:27:20.400700Z,ILL08
63,0,0.0,2017-06-02T10:03:17.825700Z,ILL08
64,0,0.0,2017-06-02T10:08:59.065300Z,ILL08
65,0,0.0,2017-06-02T10:13:34.053700Z,ILL08
66,0,0.0,2017-06-02T10:22:31.115200Z,ILL08
67,0,0.0,2017-06-02T10:32:35.056300Z,ILL08
68,0,0.0,2017-06-02T10:48:11.370900Z,ILL08
69,0,0.0,2017-06-02T11:18:20.122600Z,ILL08
70,0,0.0,2017-06-02T11:40:38.831900Z,ILL08
71,0,0.0,2017-06-02T12:25:45.430900Z,ILL08
72,0,0.0,2017-06-02T12:35:15.165300Z,ILL08
73,0,0.0,2017-06-02T13:27:30.130000Z,ILL08
74,0,0.0,2017-06-02T14:14:22.704200Z,ILL08
75,0,0.0,2017-06-02T15:04:05.161200Z,ILL08
76,0,0.0,2017-06-02T16:31:10.174800Z,ILL08
77,0,0.0,2017-06-02T16:59:45.936200Z,ILL08
78,0,0.0,2017-06-02T18:07:45.672300Z,ILL08
79,0,0.0,2017-06-02T18:18:45.674500Z,ILL08
80,0,0.0,2017-06-02T19:51:57.398000Z,ILL08
81,0,0.0,2017-06-03T02:34:58.529600Z,ILL08
82,0,0.0,2017-06-03T05:00:34.953700Z,ILL08
83,0,0.0,2017-06-03T05:15:11.313200Z,ILL08
84,0,0.0,2017-06-03T05:26:13.182400Z,ILL08
85,0,0.0,2017-06-03T05:33:19.877800Z,ILL08
86,0,0.0,2017-06-03T05:42:05.483600Z,ILL08
87,0,0.0,2017-06-03T06:20:46.646500Z,ILL08
88,0,0.0,2017-06-03T08:12:14.849400Z,ILL08
89,0,0.0,2017-06-03T08:15:30.857200Z,ILL08
90,0,0.0,2017-06-03T08:56:41.504300Z,ILL08
91,0,0.0,2017-06-03T09:13:28.528400Z,ILL08
92,0,0.0,2017-06-03T09:32:23.273100Z,ILL08
93,0,0.0,2017-06-03T18:10:33.299400Z,ILL08
94,0,0.0,2017-06-03T18:24:56.911200Z,ILL08
95,0,0.0,2017-06-03T18:24:56.911200Z,ILL08
96,0,0.0,2017-06-03T18:39:20.523100Z,ILL08
97,0,0.0,2017-06-04T01:09:37.927800Z,ILL08
98,0,0.0,2017-06-04T01:11:34.627200Z,ILL08
99,0,0.0,2017-06-04T01:13:26.795800Z,ILL08
100,0,0.0,2017-06-04T01:17:00.519800Z,ILL08
101,0,0.0,2017-06-04T01:24:05.315200Z,ILL08
102,0,0.0,2017-06-04T01:25:35.687700Z,ILL08
103,0,0.0,2017-06-04T01:27:10.310400Z,ILL08
104,0,0.0,2017-06-04T02:34:19.713900Z,ILL08
105,0,0.0,2017-06-04T05:43:35.917800Z,ILL08
106,0,0.0,2017-06-04T07:10:06.497600Z,ILL08
107,0,0.0,2017-06-04T12:10:04.187600Z,ILL08
108,0,0.0,2017-06-04T16:43:32.812600Z,ILL08
109,0,0.0,2017-06-05T03:31:15.345500Z,ILL08
