starttimes,endtimes,classes
2017-05-31T16:49:26.650000Z,2017-05-31T16:50:16.650000Z,1
2017-05-31T16:49:46.650000Z,2017-05-31T16:51:06.650000Z,1
2017-05-31T18:18:06.650000Z,2017-05-31T18:18:56.650000Z,1
2017-05-31T20:27:19.956900Z,2017-05-31T20:31:58.533300Z,1
2017-06-01T04:07:10.000000Z,2017-06-01T04:08:00.000000Z,1
2017-06-01T04:38:10.000000Z,2017-06-01T04:39:30.000000Z,1
2017-06-01T14:21:30.000000Z,2017-06-01T14:22:20.000000Z,1
2017-06-01T14:21:50.000000Z,2017-06-01T14:22:40.000000Z,1
2017-06-01T19:02:30.000000Z,2017-06-01T19:04:40.000000Z,1
2017-06-02T02:39:10.000000Z,2017-06-02T02:40:10.000000Z,1
2017-06-02T03:23:00.000000Z,2017-06-02T03:24:00.000000Z,1
2017-06-02T15:49:20.000000Z,2017-06-02T15:50:40.000000Z,1
2017-06-02T20:18:20.000000Z,2017-06-02T20:19:40.000000Z,1
2017-06-02T21:03:40.000000Z,2017-06-02T21:04:30.000000Z,1
2017-06-02T23:57:50.000000Z,2017-06-02T23:59:00.000000Z,1
2017-06-03T00:01:30.000000Z,2017-06-03T00:03:20.000000Z,1
2017-06-03T01:09:30.000000Z,2017-06-03T01:10:40.000000Z,1
2017-06-03T08:09:20.000000Z,2017-06-03T08:10:50.000000Z,1
2017-06-03T14:14:10.000000Z,2017-06-03T14:15:00.000000Z,1
2017-06-03T18:32:50.000000Z,2017-06-03T18:34:00.000000Z,1
2017-06-03T20:03:20.000000Z,2017-06-03T20:04:10.000000Z,1
2017-06-03T20:03:40.000000Z,2017-06-03T20:04:30.000000Z,1
2017-06-03T20:06:10.000000Z,2017-06-03T20:07:00.000000Z,1
2017-06-03T20:07:10.000000Z,2017-06-03T20:08:00.000000Z,1
2017-06-03T20:07:30.000000Z,2017-06-03T20:08:30.000000Z,1
2017-06-03T20:08:10.000000Z,2017-06-03T20:11:50.000000Z,1
2017-06-03T20:11:30.000000Z,2017-06-03T20:13:30.000000Z,1
2017-06-03T20:13:00.000000Z,2017-06-03T20:14:10.000000Z,1
2017-06-03T20:13:50.000000Z,2017-06-03T20:14:40.000000Z,1
2017-06-03T20:15:10.000000Z,2017-06-03T20:16:30.000000Z,1
2017-06-03T20:17:50.000000Z,2017-06-03T20:18:40.000000Z,1
2017-06-03T20:53:50.000000Z,2017-06-03T20:54:50.000000Z,1
2017-06-03T21:06:30.000000Z,2017-06-03T21:07:30.000000Z,1
2017-06-03T21:07:00.000000Z,2017-06-03T21:08:50.000000Z,1
2017-06-03T22:51:20.000000Z,2017-06-03T22:52:20.000000Z,1
2017-06-03T23:14:50.000000Z,2017-06-03T23:16:10.000000Z,1
2017-06-03T23:17:20.000000Z,2017-06-03T23:18:30.000000Z,1
2017-06-03T23:18:00.000000Z,2017-06-03T23:19:10.000000Z,1
2017-06-03T23:18:40.000000Z,2017-06-03T23:19:40.000000Z,1
2017-06-03T23:19:30.000000Z,2017-06-03T23:20:30.000000Z,1
2017-06-03T23:20:30.000000Z,2017-06-03T23:22:10.000000Z,1
