starttimes,endtimes,classes
2017-07-18T09:16:51.610000Z,2017-07-18T09:17:41.610000Z,1
2017-07-18T09:17:21.610000Z,2017-07-18T09:18:11.610000Z,1
2017-07-18T10:27:11.610000Z,2017-07-18T10:28:31.610000Z,1
2017-07-18T11:09:31.610000Z,2017-07-18T11:10:21.610000Z,1
2017-07-18T13:57:01.610000Z,2017-07-18T13:57:51.610000Z,1
2017-07-18T15:40:21.610000Z,2017-07-18T15:41:21.610000Z,1
2017-07-18T15:53:11.610000Z,2017-07-18T15:54:11.610000Z,1
2017-07-18T16:14:01.610000Z,2017-07-18T16:15:11.610000Z,1
2017-07-18T17:00:51.610000Z,2017-07-18T17:01:41.610000Z,1
2017-07-18T17:01:11.610000Z,2017-07-18T17:02:11.610000Z,1
2017-07-18T18:20:31.610000Z,2017-07-18T18:21:51.610000Z,1
2017-07-18T18:32:51.610000Z,2017-07-18T18:34:11.610000Z,1
2017-07-18T18:37:21.610000Z,2017-07-18T18:38:11.610000Z,1
2017-07-18T18:48:01.610000Z,2017-07-18T18:49:21.610000Z,1
2017-07-19T08:46:40.000000Z,2017-07-19T08:47:50.000000Z,1
2017-07-19T11:05:30.000000Z,2017-07-19T11:06:20.000000Z,1
2017-07-19T14:13:50.000000Z,2017-07-19T14:15:20.000000Z,1
2017-07-19T14:18:40.000000Z,2017-07-19T14:20:00.000000Z,1
2017-07-19T14:21:00.000000Z,2017-07-19T14:22:20.000000Z,1
2017-07-19T14:26:30.000000Z,2017-07-19T14:27:40.000000Z,1
2017-07-19T14:38:30.000000Z,2017-07-19T14:39:40.000000Z,1
2017-07-19T14:41:30.000000Z,2017-07-19T14:43:00.000000Z,1
2017-07-19T14:43:30.000000Z,2017-07-19T14:45:00.000000Z,1
2017-07-19T14:47:50.000000Z,2017-07-19T14:48:50.000000Z,1
2017-07-19T15:47:10.000000Z,2017-07-19T15:48:20.000000Z,1
2017-07-19T23:13:20.000000Z,2017-07-19T23:14:30.000000Z,1
2017-07-20T19:40:50.000000Z,2017-07-20T19:42:10.000000Z,1
2017-07-20T21:17:00.000000Z,2017-07-20T21:18:20.000000Z,1
2017-07-21T00:31:20.000000Z,2017-07-21T00:32:40.000000Z,1
2017-07-21T09:22:50.000000Z,2017-07-21T09:23:40.000000Z,1
2017-07-21T10:40:20.000000Z,2017-07-21T10:41:10.000000Z,1
2017-07-21T10:40:40.000000Z,2017-07-21T10:41:30.000000Z,1
2017-07-21T16:46:40.000000Z,2017-07-21T16:47:30.000000Z,1
2017-07-21T16:47:00.000000Z,2017-07-21T16:48:00.000000Z,1
2017-07-21T17:04:20.000000Z,2017-07-21T17:05:20.000000Z,1
2017-07-21T22:26:10.000000Z,2017-07-21T22:27:30.000000Z,1
2017-07-22T09:32:10.000000Z,2017-07-22T09:33:00.000000Z,1
2017-07-22T10:05:50.000000Z,2017-07-22T10:07:10.000000Z,1
2017-07-22T10:42:40.000000Z,2017-07-22T10:43:40.000000Z,1
2017-07-22T11:47:20.000000Z,2017-07-22T11:48:10.000000Z,1
2017-07-22T19:30:40.000000Z,2017-07-22T19:32:00.000000Z,1
2017-07-22T19:47:30.000000Z,2017-07-22T19:48:50.000000Z,1
2017-07-22T21:39:50.000000Z,2017-07-22T21:40:50.000000Z,1
2017-07-22T22:50:50.000000Z,2017-07-22T22:51:40.000000Z,1
2017-07-22T22:51:20.000000Z,2017-07-22T22:52:10.000000Z,1
2017-07-23T12:43:30.000000Z,2017-07-23T12:44:20.000000Z,1
2017-07-23T12:44:20.000000Z,2017-07-23T12:45:10.000000Z,1
2017-07-23T12:46:50.000000Z,2017-07-23T12:48:10.000000Z,1
2017-07-23T18:08:00.000000Z,2017-07-23T18:09:00.000000Z,1
2017-07-23T18:08:50.000000Z,2017-07-23T18:09:40.000000Z,1
2017-07-24T00:15:30.000000Z,2017-07-24T00:16:20.000000Z,1
2017-07-24T11:29:00.000000Z,2017-07-24T11:30:40.000000Z,1
2017-07-24T20:42:10.000000Z,2017-07-24T20:43:00.000000Z,1
2017-07-25T07:50:50.000000Z,2017-07-25T07:51:40.000000Z,1
2017-07-25T17:36:40.000000Z,2017-07-25T17:38:00.000000Z,1
2017-07-25T23:05:10.000000Z,2017-07-25T23:06:00.000000Z,1
2017-07-26T04:03:20.000000Z,2017-07-26T04:04:40.000000Z,1
2017-07-26T05:23:50.000000Z,2017-07-26T05:25:00.000000Z,1
2017-07-26T05:27:20.000000Z,2017-07-26T05:28:40.000000Z,1
2017-07-26T08:44:30.000000Z,2017-07-26T08:46:00.000000Z,1
2017-07-26T13:57:20.000000Z,2017-07-26T13:58:50.000000Z,1
2017-07-26T22:37:40.000000Z,2017-07-26T22:38:30.000000Z,1
2017-07-27T00:56:00.000000Z,2017-07-27T00:57:30.000000Z,1
2017-07-27T18:23:00.000000Z,2017-07-27T18:24:10.000000Z,1
2017-07-27T19:44:20.000000Z,2017-07-27T19:45:50.000000Z,1
2017-07-27T23:40:20.000000Z,2017-07-27T23:41:50.000000Z,1
