starttimes,endtimes,classes
2017-05-29T21:08:02.748500Z,2017-05-29T21:10:21.748500Z,0
2017-05-29T23:16:16.569800Z,2017-05-29T23:18:22.569800Z,2
2017-05-30T07:03:12.093200Z,2017-05-30T07:05:18.093200Z,2
2017-05-30T13:42:23.679400Z,2017-05-30T13:44:42.679400Z,0
2017-05-30T14:25:24.983800Z,2017-05-30T14:27:30.983800Z,2
2017-05-30T17:56:06.107700Z,2017-05-30T17:58:38.107700Z,2
2017-05-30T18:12:00.885600Z,2017-05-30T18:13:53.885600Z,2
2017-05-30T19:23:26.221800Z,2017-05-30T19:25:19.221800Z,0
2017-05-30T20:00:43.591400Z,2017-05-30T20:02:49.591400Z,0
2017-05-30T20:03:44.857500Z,2017-05-30T20:05:37.857500Z,0
2017-05-30T21:34:14.330100Z,2017-05-30T21:36:20.330100Z,0
2017-05-30T23:00:44.694400Z,2017-05-30T23:02:37.694400Z,2
2017-05-30T23:40:52.466200Z,2017-05-30T23:43:11.466200Z,0
2017-05-31T09:26:04.586900Z,2017-05-31T09:28:23.586900Z,2
2017-05-31T09:30:35.763900Z,2017-05-31T09:32:54.763900Z,2
2017-05-31T20:16:39.752400Z,2017-05-31T20:18:38.224300Z,3
2017-05-31T20:47:28.179600Z,2017-05-31T20:49:03.054500Z,3
2017-05-31T21:17:34.610800Z,2017-05-31T21:20:41.481700Z,3
2017-05-31T23:43:11.743000Z,2017-05-31T23:46:28.427800Z,3
2017-06-01T04:06:28.321900Z,2017-06-01T04:08:21.321900Z,2
2017-06-01T06:45:35.330200Z,2017-06-01T06:48:31.088400Z,3
2017-06-01T06:53:18.701400Z,2017-06-01T07:05:18.743200Z,3
2017-06-01T09:15:24.992700Z,2017-06-01T09:16:53.225900Z,3
2017-06-01T09:17:25.088100Z,2017-06-01T09:21:22.368500Z,3
2017-06-01T11:38:41.218600Z,2017-06-01T11:41:30.342500Z,3
2017-06-01T11:49:23.840300Z,2017-06-01T11:50:46.881600Z,3
2017-06-01T12:03:46.735300Z,2017-06-01T12:07:17.054800Z,3
2017-06-01T13:34:58.550000Z,2017-06-01T13:36:44.616100Z,3
2017-06-01T13:38:36.774100Z,2017-06-01T13:40:00.755800Z,3
2017-06-01T14:04:00.131700Z,2017-06-01T14:06:06.223500Z,3
2017-06-01T14:10:17.612200Z,2017-06-01T14:12:13.872800Z,3
2017-06-01T14:12:01.810600Z,2017-06-01T14:13:00.749000Z,3
2017-06-01T14:13:58.611400Z,2017-06-01T14:15:00.983900Z,3
2017-06-01T14:20:14.492000Z,2017-06-01T14:21:18.688700Z,3
2017-06-01T14:23:24.095500Z,2017-06-01T14:24:20.566500Z,3
2017-06-01T14:24:19.839200Z,2017-06-01T14:25:17.919600Z,3
2017-06-01T14:26:23.261200Z,2017-06-01T14:27:22.622200Z,3
2017-06-01T16:05:16.400000Z,2017-06-01T16:06:12.503400Z,3
2017-06-02T00:22:58.901000Z,2017-06-02T00:24:25.222200Z,1
2017-06-02T01:51:10.397600Z,2017-06-02T01:52:27.119800Z,3
2017-06-02T02:01:50.280000Z,2017-06-02T02:03:12.860100Z,3
2017-06-02T02:11:56.344600Z,2017-06-02T02:13:26.800700Z,3
2017-06-02T05:38:21.238800Z,2017-06-02T05:39:52.486400Z,3
2017-06-02T05:43:23.154300Z,2017-06-02T05:44:41.478600Z,3
2017-06-02T06:45:44.318100Z,2017-06-02T06:49:06.372700Z,3
2017-06-02T06:49:03.753000Z,2017-06-02T06:53:00.109600Z,3
2017-06-02T06:54:29.401400Z,2017-06-02T06:57:08.798500Z,3
2017-06-02T06:59:47.353900Z,2017-06-02T07:02:10.919300Z,3
2017-06-02T07:05:06.185900Z,2017-06-02T07:07:51.739800Z,3
2017-06-02T07:11:59.348200Z,2017-06-02T07:13:56.747500Z,3
2017-06-02T07:16:04.299200Z,2017-06-02T07:18:50.732600Z,3
2017-06-02T07:22:16.054300Z,2017-06-02T07:23:18.678100Z,3
