starttimes,endtimes,classes
2017-07-19T02:54:59.683200Z,2017-07-19T02:56:15.652000Z,0
2017-07-19T03:54:16.987900Z,2017-07-19T03:55:15.305100Z,0
2017-07-19T14:51:06.897600Z,2017-07-19T14:52:09.622800Z,0
2017-07-19T18:06:39.039300Z,2017-07-19T18:07:38.803000Z,0
2017-07-19T19:15:28.036200Z,2017-07-19T19:18:11.623700Z,0
2017-07-19T20:08:53.814900Z,2017-07-19T20:10:11.384200Z,0
2017-07-19T20:28:12.619000Z,2017-07-19T20:29:57.739200Z,0
2017-07-19T20:44:28.794700Z,2017-07-19T20:46:22.889700Z,0
2017-07-19T21:07:50.546900Z,2017-07-19T21:09:26.692200Z,0
2017-07-19T22:19:34.374000Z,2017-07-19T22:20:31.124800Z,0
2017-07-20T06:48:54.901100Z,2017-07-20T06:51:34.750400Z,0
2017-07-20T06:55:20.883100Z,2017-07-20T06:59:37.745500Z,0
2017-07-20T08:40:46.898800Z,2017-07-20T08:43:13.817000Z,0
2017-07-20T08:46:17.172200Z,2017-07-20T08:48:21.312900Z,0
2017-07-20T08:51:53.573800Z,2017-07-20T09:23:55.099000Z,0
2017-07-20T11:50:00.913000Z,2017-07-20T11:54:48.454000Z,0
2017-07-20T12:04:02.117900Z,2017-07-20T12:07:42.285000Z,0
2017-07-20T12:10:08.821600Z,2017-07-20T12:13:45.576300Z,0
2017-07-20T12:19:14.040300Z,2017-07-20T12:21:40.156400Z,0
2017-07-20T14:10:08.350300Z,2017-07-20T14:12:23.899600Z,0
2017-07-20T14:24:58.630600Z,2017-07-20T14:28:55.009000Z,0
2017-07-20T14:31:13.986800Z,2017-07-20T14:34:24.716900Z,0
2017-07-20T21:49:53.962600Z,2017-07-20T21:52:14.421500Z,0
2017-07-20T21:59:35.468200Z,2017-07-20T22:02:50.321000Z,0
2017-07-20T22:35:08.940600Z,2017-07-20T22:58:46.375000Z,1
2017-07-20T23:27:48.226600Z,2017-07-20T23:30:54.528000Z,0
2017-07-21T01:29:29.979700Z,2017-07-21T01:31:26.604100Z,0
2017-07-21T01:42:46.913300Z,2017-07-21T01:45:13.071700Z,0
2017-07-21T01:54:27.615400Z,2017-07-21T01:55:55.675200Z,0
2017-07-21T02:00:23.746500Z,2017-07-21T02:01:48.990400Z,0
2017-07-21T02:16:32.077800Z,2017-07-21T02:19:08.097300Z,0
2017-07-21T04:03:00.174200Z,2017-07-21T04:06:00.641600Z,0
2017-07-21T05:08:00.263500Z,2017-07-21T05:09:20.896100Z,0
2017-07-21T06:42:45.594000Z,2017-07-21T06:46:30.675600Z,0
2017-07-21T06:48:31.409500Z,2017-07-21T06:50:45.632900Z,0
2017-07-21T06:53:41.796400Z,2017-07-21T06:56:54.759700Z,0
2017-07-21T08:03:57.959400Z,2017-07-21T08:05:41.746200Z,0
2017-07-21T09:00:13.044600Z,2017-07-21T09:02:10.872500Z,0
2017-07-21T09:04:44.439400Z,2017-07-21T09:09:16.574800Z,0
2017-07-21T09:12:23.387900Z,2017-07-21T09:14:45.274500Z,0
2017-07-21T09:18:41.803500Z,2017-07-21T09:21:49.473400Z,0
2017-07-21T09:27:58.995600Z,2017-07-21T09:30:09.739000Z,0
2017-07-21T09:33:39.528900Z,2017-07-21T09:35:20.968500Z,0
2017-07-21T17:13:44.534100Z,2017-07-21T17:16:22.497100Z,0
2017-07-22T02:09:14.445600Z,2017-07-22T02:10:31.467400Z,0
2017-07-22T02:14:20.387500Z,2017-07-22T02:18:16.731300Z,1
2017-07-22T17:13:18.011200Z,2017-07-22T17:16:03.797900Z,0
2017-07-22T17:29:30.025400Z,2017-07-22T17:30:47.312400Z,0
2017-07-22T18:17:29.244300Z,2017-07-22T18:18:39.372400Z,0
2017-07-22T18:22:10.637900Z,2017-07-22T18:23:19.775600Z,0
2017-07-22T21:42:36.428900Z,2017-07-22T21:43:47.624200Z,0
2017-07-23T00:48:30.676100Z,2017-07-23T00:49:31.583600Z,0
2017-07-23T00:51:57.428000Z,2017-07-23T00:53:05.835600Z,0
2017-07-23T00:55:58.030100Z,2017-07-23T00:56:51.636500Z,0
2017-07-23T01:02:09.387000Z,2017-07-23T01:03:14.276800Z,0
2017-07-23T03:15:46.356600Z,2017-07-23T03:17:13.877600Z,0
2017-07-23T09:47:02.146500Z,2017-07-23T09:48:15.488500Z,0
2017-07-23T15:47:43.315500Z,2017-07-23T15:50:42.271800Z,0
2017-07-23T18:19:14.906000Z,2017-07-23T18:20:45.243300Z,0
2017-07-24T17:32:00.340800Z,2017-07-24T17:33:59.430700Z,0
2017-07-24T19:44:33.755000Z,2017-07-24T19:47:12.846400Z,0
2017-07-24T20:04:34.593000Z,2017-07-24T20:06:08.313500Z,0
2017-07-24T20:11:05.523300Z,2017-07-24T20:13:25.844900Z,0
2017-07-25T06:48:33.250500Z,2017-07-25T06:50:44.248400Z,0
2017-07-25T06:54:13.786800Z,2017-07-25T06:56:59.750500Z,0
2017-07-25T09:36:15.884400Z,2017-07-25T09:40:50.934800Z,0
2017-07-25T13:16:15.026600Z,2017-07-25T13:18:21.295700Z,0
2017-07-25T14:17:36.183100Z,2017-07-25T14:22:24.219100Z,0
2017-07-25T19:36:06.703500Z,2017-07-25T19:38:05.888600Z,0
2017-07-26T07:01:04.012400Z,2017-07-26T07:04:07.630000Z,0
2017-07-26T07:08:15.547400Z,2017-07-26T07:11:53.942800Z,0
2017-07-26T08:17:18.127300Z,2017-07-26T08:21:41.589900Z,0
2017-07-26T10:45:49.106500Z,2017-07-26T10:48:17.901800Z,0
2017-07-26T11:47:02.158300Z,2017-07-26T11:50:46.647600Z,0
2017-07-26T14:18:05.106700Z,2017-07-26T14:20:29.294200Z,0
2017-07-26T21:04:02.007900Z,2017-07-26T21:06:05.494400Z,0
2017-07-26T23:19:29.409300Z,2017-07-26T23:20:19.505700Z,1
2017-07-27T02:50:18.767400Z,2017-07-27T02:51:06.987800Z,1
2017-07-27T06:16:06.653900Z,2017-07-27T06:18:24.521100Z,0
2017-07-27T06:36:51.843800Z,2017-07-27T06:40:12.749500Z,0
2017-07-27T08:58:12.428500Z,2017-07-27T09:03:21.359400Z,0
2017-07-27T09:18:44.954500Z,2017-07-27T09:22:10.232600Z,0
2017-07-27T14:02:14.948000Z,2017-07-27T14:04:20.429100Z,0
2017-07-27T14:10:42.806400Z,2017-07-27T14:14:52.246100Z,0
2017-07-27T14:24:08.646300Z,2017-07-27T14:25:36.305900Z,0
2017-07-27T18:03:06.220400Z,2017-07-27T18:05:48.679600Z,1
