startdate,starttime,enddate,endtime,duration,bla,class,network
2017-06-02,10:02:57.8257,,,,,0.0,XP.ILL07..EHZ
2017-06-02,10:08:39.0653,,,,,0.0,XP.ILL07..EHZ
2017-06-02,10:13:14.0537,,,,,0.0,XP.ILL07..EHZ
2017-06-02,10:22:11.1152,,,,,0.0,XP.ILL07..EHZ
2017-06-02,10:32:15.0563,,,,,0.0,XP.ILL07..EHZ
2017-06-02,10:47:51.3709,,,,,0.0,XP.ILL07..EHZ
2017-06-02,11:18:00.1226,,,,,0.0,XP.ILL07..EHZ
2017-06-02,11:40:18.8319,,,,,0.0,XP.ILL07..EHZ
2017-06-02,12:25:25.4309,,,,,0.0,None
2017-06-02,12:34:55.1653,,,,,0.0,XP.ILL07..EHZ
2017-06-02,13:27:10.1300,,,,,0.0,XP.ILL07..EHZ
2017-06-02,14:14:02.7042,,,,,0.0,XP.ILL07..EHZ
2017-06-02,15:03:45.1612,,,,,0.0,None
2017-06-02,16:30:50.1748,,,,,0.0,XP.ILL07..EHZ
2017-06-02,16:59:25.9362,,,,,0.0,XP.ILL07..EHZ
2017-06-02,18:07:25.6723,,,,,0.0,XP.ILL07..EHZ
2017-06-02,18:18:25.6745,,,,,0.0,XP.ILL07..EHZ
2017-06-02,19:51:37.3980,,,,,0.0,None
2017-06-03,02:34:38.5296,,,,,0.0,None
2017-06-03,05:00:14.9537,,,,,0.0,XP.ILL07..EHZ
2017-06-03,05:14:51.3132,,,,,0.0,XP.ILL07..EHZ
2017-06-03,05:25:53.1824,,,,,0.0,XP.ILL07..EHZ
2017-06-03,05:32:59.8778,,,,,0.0,XP.ILL07..EHZ
2017-06-03,05:41:45.4836,,,,,0.0,None
2017-06-03,06:20:26.6465,,,,,0.0,XP.ILL07..EHZ
2017-06-03,08:11:54.8494,,,,,0.0,XP.ILL07..EHZ
2017-06-03,08:15:10.8572,,,,,0.0,XP.ILL07..EHZ
2017-06-03,08:56:21.5043,,,,,0.0,XP.ILL07..EHZ
2017-06-03,09:13:08.5284,,,,,0.0,XP.ILL07..EHZ
2017-06-03,09:32:03.2731,,,,,0.0,None
2017-06-03,18:10:13.2994,,,,,0.0,None
2017-06-03,18:24:36.9112,,,,,0.0,None
2017-06-03,18:24:36.9112,,,,,0.0,None
2017-06-03,18:39:00.5231,,,,,0.0,None
2017-06-04,01:09:17.9278,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:11:14.6272,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:13:06.7958,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:16:40.5198,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:23:45.3152,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:25:15.6877,,,,,0.0,XP.ILL07..EHZ
2017-06-04,01:26:50.3104,,,,,0.0,XP.ILL07..EHZ
2017-06-04,02:33:59.7139,,,,,0.0,None
2017-06-04,05:43:15.9178,,,,,0.0,XP.ILL07..EHZ
2017-06-04,07:09:46.4976,,,,,0.0,XP.ILL07..EHZ
2017-06-04,12:09:44.1876,,,,,0.0,None
2017-06-04,16:43:12.8126,,,,,0.0,None
2017-06-05,03:30:55.3455,,,,,0.0,None
2017-06-05,10:57:07.3126,,,,,0.0,None
2017-06-05,13:49:50.6547,,,,,0.0,None
2017-06-05,13:49:50.6547,,,,,0.0,None
2017-06-05,15:41:51.5830,,,,,0.0,None
2017-06-05,16:42:33.9969,,,,,0.0,None
2017-06-05,18:55:08.5036,,,,,0.0,XP.ILL07..EHZ
2017-06-05,19:24:19.1628,,,,,0.0,None
2017-06-05,19:36:05.3966,,,,,0.0,XP.ILL07..EHZ
2017-06-06,02:37:24.0321,,,,,0.0,None
2017-06-06,03:45:29.5946,,,,,0.0,XP.ILL07..EHZ
2017-06-06,10:23:33.7736,,,,,0.0,None
2017-06-06,10:37:16.3061,,,,,0.0,XP.ILL07..EHZ
2017-06-06,13:18:22.4267,,,,,0.0,None
2017-06-06,16:27:45.1342,,,,,0.0,None
2017-06-06,21:33:40.2770,,,,,0.0,None
2017-06-06,23:59:20.8213,,,,,0.0,None
2017-06-07,01:41:19.2022,,,,,0.0,None
2017-06-07,09:41:54.8143,,,,,0.0,None
2017-06-07,13:10:45.1190,,,,,0.0,None
2017-06-07,19:45:01.2693,,,,,0.0,None
2017-06-08,11:43:57.2522,,,,,0.0,None
2017-06-08,18:53:28.4703,,,,,0.0,None
2017-06-09,02:08:25.9064,,,,,0.0,None
2017-06-09,05:13:17.3167,,,,,0.0,None
2017-06-09,09:50:34.4322,,,,,0.0,None
2017-06-09,15:00:28.8554,,,,,0.0,None
2017-06-09,18:54:16.2273,,,,,0.0,None
2017-06-09,23:42:25.7787,,,,,0.0,None
2017-06-10,00:53:06.6121,,,,,0.0,None
2017-06-10,02:20:06.0993,,,,,0.0,None
2017-06-10,03:41:39.3685,,,,,0.0,None
2017-06-10,05:24:57.5096,,,,,0.0,None
2017-06-10,06:46:30.7789,,,,,0.0,None
2017-06-10,08:13:30.2661,,,,,0.0,None
2017-06-10,09:17:50.1911,,,,,0.0,None
2017-06-10,09:58:05.7115,,,,,0.0,None
2017-06-10,10:46:24.3360,,,,,0.0,None
2017-06-10,12:14:58.4810,,,,,0.0,None
2017-06-10,15:16:08.3229,,,,,0.0,None
2017-06-10,16:20:33.1556,,,,,0.0,None
2017-06-10,17:04:50.2281,,,,,0.0,None
2017-06-10,17:45:05.7485,,,,,0.0,None
2017-06-10,18:41:27.4771,,,,,0.0,None
2017-06-10,20:22:06.2782,,,,,0.0,None
2017-06-10,22:34:57.4956,,,,,0.0,None
2017-06-11,00:19:37.8488,,,,,0.0,None
2017-06-11,01:24:02.6815,,,,,0.0,None
2017-06-11,02:16:22.8580,,,,,0.0,None
2017-06-11,03:28:50.7948,,,,,0.0,None
2017-06-11,04:37:17.1795,,,,,0.0,None
2017-06-11,05:37:40.4602,,,,,0.0,None
2017-06-11,06:46:06.8449,,,,,0.0,None
2017-06-11,07:50:31.6776,,,,,0.0,None
2017-06-11,08:50:54.9583,,,,,0.0,None
2017-06-11,10:51:41.5196,,,,,0.0,None
2017-06-11,12:32:20.3207,,,,,0.0,None
2017-06-11,14:33:06.8819,,,,,0.0,None
2017-06-11,17:06:05.8596,,,,,0.0,None
2017-06-11,18:22:35.3484,,,,,0.0,None
2017-06-11,19:22:58.6291,,,,,0.0,None
2017-06-11,20:19:20.3577,,,,,0.0,None
2017-06-11,21:23:45.1904,,,,,0.0,None
2017-06-11,22:56:20.8874,,,,,0.0,None
2017-06-11,23:36:36.4078,,,,,0.0,None
2017-06-12,00:57:07.4487,,,,,0.0,None
2017-06-12,02:01:32.2814,,,,,0.0,None
2017-06-12,03:01:55.5620,,,,,0.0,None
2017-06-12,05:46:59.1958,,,,,0.0,None
2017-06-12,07:55:48.8612,,,,,0.0,None
2017-06-12,09:16:19.9020,,,,,0.0,None
2017-06-12,10:04:38.5265,,,,,0.0,None
2017-06-12,10:56:58.7031,,,,,0.0,None
2017-06-12,13:42:02.3369,,,,,0.0,None
2017-06-12,14:42:25.6175,,,,,0.0,None
2017-06-12,15:54:53.5543,,,,,0.0,None
2017-06-12,17:19:26.1472,,,,,0.0,None
2017-06-12,18:27:52.5320,,,,,0.0,None
2017-06-12,19:24:14.2606,,,,,0.0,None
2017-06-12,20:20:35.9892,,,,,0.0,None
2017-06-12,21:29:02.3739,,,,,0.0,None
2017-06-12,22:49:33.4148,,,,,0.0,None
2017-06-13,00:06:02.9036,,,,,0.0,None
2017-06-13,01:06:26.1842,,,,,0.0,None
2017-06-13,02:02:47.9128,,,,,0.0,None
2017-06-13,06:52:39.6600,,,,,0.0,None
2017-06-13,07:49:01.3886,,,,,0.0,None
2017-06-13,12:14:43.8234,,,,,0.0,None
2017-06-13,13:15:07.1041,,,,,0.0,None
2017-06-13,14:31:36.5929,,,,,0.0,None
2017-06-13,15:56:09.1858,,,,,0.0,None
2017-06-13,16:48:29.3624,,,,,0.0,None
2017-06-13,17:52:54.1951,,,,,0.0,None
2017-06-13,21:22:14.9013,,,,,0.0,None
2017-06-13,22:10:33.5258,,,,,0.0,None
2017-06-13,23:10:56.8065,,,,,0.0,None
2017-06-14,00:23:24.7433,,,,,0.0,None
2017-06-14,01:51:58.8882,,,,,0.0,None
2017-06-14,03:00:25.2730,,,,,0.0,None
2017-06-14,06:21:42.8751,,,,,0.0,None
2017-06-14,07:26:07.7078,,,,,0.0,None
2017-06-14,12:24:02.5590,,,,,0.0,None
2017-06-14,15:09:06.1928,,,,,0.0,None
2017-06-14,16:33:38.7857,,,,,0.0,None
2017-06-14,19:06:37.7633,,,,,0.0,None
2017-06-14,20:39:13.4603,,,,,0.0,None
2017-06-14,21:51:41.3971,,,,,0.0,None
2017-06-14,23:12:12.4380,,,,,0.0,None
2017-06-14,23:56:29.5105,,,,,0.0,None
2017-06-15,01:25:03.6554,,,,,0.0,None
2017-06-15,02:33:30.0401,,,,,0.0,None
2017-06-15,03:54:01.0810,,,,,0.0,None
2017-06-15,05:18:33.6739,,,,,0.0,None
2017-06-15,06:10:53.8505,,,,,0.0,None
2017-06-15,06:51:09.3709,,,,,0.0,None
2017-06-15,07:43:29.5475,,,,,0.0,None
2017-06-15,08:31:48.1720,,,,,0.0,None
2017-06-15,09:44:16.1088,,,,,0.0,None
2017-06-15,10:56:44.0456,,,,,0.0,None
2017-06-15,12:13:13.5344,,,,,0.0,None
2017-06-15,13:25:41.4712,,,,,0.0,None
2017-06-15,13:25:41.4712,,,,,0.0,None
2017-06-15,14:26:04.7518,,,,,0.0,None
2017-06-15,15:22:26.4804,,,,,0.0,None
2017-06-15,18:11:31.6662,,,,,0.0,None
2017-06-15,19:15:56.4989,,,,,0.0,None
2017-06-15,21:08:39.9561,,,,,0.0,None
2017-06-15,22:41:15.6531,,,,,0.0,None
2017-06-16,00:13:51.3501,,,,,0.0,None
2017-06-16,01:30:20.8389,,,,,0.0,None
2017-06-16,03:59:18.2646,,,,,0.0,None
2017-06-16,04:47:36.8891,,,,,0.0,None
2017-06-16,05:48:00.1697,,,,,0.0,None
2017-06-16,06:32:17.2422,,,,,0.0,None
2017-06-16,08:16:57.5953,,,,,0.0,None
2017-06-16,09:53:34.8444,,,,,0.0,None
2017-06-16,12:22:32.2700,,,,,0.0,None
2017-06-16,13:18:53.9986,,,,,0.0,None
2017-06-16,14:43:26.5915,,,,,0.0,None
2017-06-16,16:24:05.3926,,,,,0.0,None
2017-06-16,18:16:48.8498,,,,,0.0,None
2017-06-16,19:21:13.6825,,,,,0.0,None
2017-06-16,20:33:41.6192,,,,,0.0,None
2017-06-16,22:06:17.3162,,,,,0.0,None
2017-06-16,23:02:39.0448,,,,,0.0,None
2017-06-17,00:19:08.5337,,,,,0.0,None
2017-06-17,02:19:55.0950,,,,,0.0,None
2017-06-17,02:19:55.0950,,,,,0.0,None
2017-06-17,03:40:26.1358,,,,,0.0,None
2017-06-17,05:29:08.0410,,,,,0.0,None
2017-06-17,06:57:42.1860,,,,,0.0,None
2017-06-17,08:46:24.0911,,,,,0.0,None
2017-06-17,10:27:02.8922,,,,,0.0,None
2017-06-17,11:43:32.3810,,,,,0.0,None
2017-06-17,12:43:55.6617,,,,,0.0,None
2017-06-17,13:40:17.3903,,,,,0.0,None
2017-06-17,14:56:46.8791,,,,,0.0,None
2017-06-17,16:01:11.7118,,,,,0.0,None
2017-06-17,17:05:36.5445,,,,,0.0,None
2017-06-17,18:14:02.9292,,,,,0.0,None
2017-06-17,19:38:35.5221,,,,,0.0,None
2017-06-17,19:47:16.6278,,,,,0.0,XP.ILL08..EHZ
2017-06-17,21:15:12.7712,,,,,0.0,None
2017-06-17,22:39:45.3641,,,,,0.0,None
2017-06-17,22:39:45.3641,,,,,0.0,None
2017-06-18,00:48:35.0295,,,,,0.0,None
2017-06-18,01:40:55.2060,,,,,0.0,None
2017-06-18,03:29:37.1112,,,,,0.0,None
2017-06-18,04:42:57.6221,,,,,0.0,None
2017-06-18,06:04:27.0788,,,,,0.0,None
2017-06-18,09:07:48.3561,,,,,0.0,None
2017-06-18,10:37:26.7584,,,,,0.0,None
2017-06-18,10:37:26.7584,,,,,0.0,None
2017-06-18,12:11:09.6335,,,,,0.0,None
2017-06-18,13:36:43.5630,,,,,0.0,None
2017-06-18,15:14:30.9109,,,,,0.0,None
2017-06-18,16:23:46.9490,,,,,0.0,None
2017-06-18,17:37:07.4600,,,,,0.0,None
2017-06-18,18:54:32.4438,,,,,0.0,None
2017-06-18,20:16:01.9004,,,,,0.0,None
2017-06-18,21:25:17.9385,,,,,0.0,None
2017-06-18,22:43:39.0883,,,,,0.0,None
2017-05-24,06:46:02.1544,2017-05-24,06:46:06.7194,4.56499981880188,,4.0,XP.ILL03..EHZ
2017-05-24,06:46:03.1083,2017-05-24,06:46:09.8309,6.722599983215332,,4.0,XP.ILL02..EHZ
2017-05-24,06:46:04.2439,2017-05-24,06:46:13.4420,9.198099851608276,,4.0,XP.ILL08..EHZ
2017-05-24,06:46:05.5157,2017-05-24,06:46:11.2844,5.768699884414673,,4.0,XP.ILL04..EHZ
2017-05-25,08:58:33.2472,2017-05-25,08:59:21.1038,47.85660004615784,,4.0,XP.ILL04..EHZ
2017-05-25,08:58:35.1350,2017-05-25,08:59:28.3719,53.23690009117127,,4.0,XP.ILL08..EHZ
2017-05-25,09:36:18.4639,2017-05-25,09:37:09.3079,50.8439998626709,,4.0,XP.ILL04..EHZ
2017-05-25,09:36:18.7083,2017-05-25,09:37:12.4857,53.77739977836609,,4.0,XP.ILL08..EHZ
2017-05-29,11:41:29.2703,2017-05-29,11:41:44.2099,14.939599990844728,,4.0,XP.ILL08..EHZ
2017-05-29,11:41:32.1349,2017-05-29,11:41:47.0020,14.86710000038147,,4.0,XP.ILL04..EHZ
2017-05-29,11:41:54.9982,2017-05-29,11:42:04.1267,9.128499984741213,,4.0,XP.ILL02..EHZ
2017-05-29,11:41:55.2500,2017-05-29,11:42:02.6158,7.365799903869629,,4.0,XP.ILL03..EHZ
2017-05-29,11:41:55.3130,2017-05-29,11:42:04.3156,9.002599954605103,,4.0,XP.ILL01..EHZ
2017-05-29,11:42:00.0976,2017-05-29,11:42:09.2261,9.128499984741213,,4.0,XP.ILL04..EHZ
2017-05-29,14:06:24.5704,2017-05-29,14:06:34.7053,10.134900093078612,,4.0,XP.ILL04..EHZ
2017-05-29,14:06:29.4706,2017-05-29,14:06:36.0396,6.569000005722046,,4.0,XP.ILL02..EHZ
2017-05-29,14:06:29.9741,2017-05-29,14:06:37.3711,7.396999835968018,,4.0,XP.ILL03..EHZ
2017-05-29,14:28:04.0173,2017-05-29,14:28:23.9121,19.894800186157227,,4.0,XP.ILL03..EHZ
2017-05-29,16:32:06.0405,2017-05-29,16:32:29.4327,23.392199993133545,,4.0,XP.ILL04..EHZ
2017-05-29,16:32:08.2913,2017-05-29,16:32:32.8090,24.51769995689392,,4.0,XP.ILL08..EHZ
2017-05-29,16:35:50.7612,2017-05-29,16:36:00.4557,9.694499969482422,,4.0,XP.ILL03..EHZ
