startdate,starttime,enddate,endtime,duration,bla,class,network
2017-06-01,04:07:14.3219,2017-06-01,04:07:42.6177,28.29580020904541,,3.0,XP.ILL08..EHZ
2017-06-02,02:39:27.7054,2017-06-02,02:39:33.8411,6.135699987411499,,3.0,XP.ILL04..EHZ
2017-06-02,02:39:27.9054,2017-06-02,02:39:34.4413,6.535899877548218,,3.0,XP.ILL05..EHZ
2017-06-02,05:43:37.0157,2017-06-02,05:43:52.3119,15.296199798583984,,4.0,XP.ILL08..EHZ
2017-06-02,05:43:39.5103,2017-06-02,05:43:52.7714,13.261100053787231,,4.0,XP.ILL07..EHZ
2017-06-02,07:00:28.8369,2017-06-02,07:00:57.4990,28.662100076675415,,4.0,XP.ILL06..EHZ
2017-06-02,07:00:29.5360,2017-06-02,07:00:58.8272,29.291199922561646,,4.0,XP.ILL07..EHZ
2017-06-02,07:00:29.6758,2017-06-02,07:01:00.5749,30.899099826812744,,4.0,XP.ILL05..EHZ
2017-06-02,07:00:30.6545,2017-06-02,07:01:01.4138,30.759299993515015,,4.0,XP.ILL04..EHZ
2017-06-02,07:00:34.1965,2017-06-02,07:01:03.6467,29.450199842453003,,4.0,XP.ILL08..EHZ
2017-06-02,07:00:37.9249,2017-06-02,07:01:06.9365,29.011600017547607,,4.0,XP.ILL02..EHZ
2017-06-02,07:00:38.2744,2017-06-02,07:01:06.8666,28.59220004081726,,4.0,XP.ILL03..EHZ
2017-06-02,07:00:40.3017,2017-06-02,07:01:07.4259,27.124199867248535,,4.0,XP.ILL01..EHZ
2017-06-02,10:02:57.8257,,0,XP.ILL07..EHZ,,,
2017-06-02,10:05:53.4261,2017-06-02,10:07:03.4020,69.97589993476868,,1.0,None
2017-06-02,10:08:39.0653,,0,XP.ILL07..EHZ,,,
2017-06-02,10:13:14.0537,,0,XP.ILL07..EHZ,,,
2017-06-02,10:22:11.1152,,0,XP.ILL07..EHZ,,,
2017-06-02,10:32:15.0563,,0,XP.ILL07..EHZ,,,
2017-06-02,10:47:51.3709,,0,XP.ILL07..EHZ,,,
2017-06-02,11:18:00.1226,,0,XP.ILL07..EHZ,,,
2017-06-02,11:40:18.8319,,0,XP.ILL07..EHZ,,,
2017-06-02,12:25:25.4309,,0,None,,,
2017-06-02,12:34:55.1653,,0,XP.ILL07..EHZ,,,
2017-06-02,12:58:15.8020,2017-06-02,12:58:45.5555,29.75349998474121,,4.0,XP.ILL07..EHZ
2017-06-02,12:58:17.5139,2017-06-02,12:58:47.6749,30.16100001335144,,4.0,XP.ILL06..EHZ
2017-06-02,12:58:21.0191,2017-06-02,12:58:51.1802,30.161100149154663,,4.0,XP.ILL05..EHZ
2017-06-02,12:58:23.5461,2017-06-02,12:58:53.4626,29.916500091552734,,4.0,XP.ILL08..EHZ
2017-06-02,13:27:10.1300,,0,XP.ILL07..EHZ,,,
2017-06-02,14:14:02.7042,,0,XP.ILL07..EHZ,,,
2017-06-02,15:03:45.1612,,0,None,,,
2017-06-02,16:30:50.1748,,0,XP.ILL07..EHZ,,,
2017-06-02,16:59:25.9362,,0,XP.ILL07..EHZ,,,
2017-06-02,18:07:25.6723,,0,XP.ILL07..EHZ,,,
2017-06-02,18:18:25.6745,,0,XP.ILL07..EHZ,,,
2017-06-02,19:05:17.5352,2017-06-02,19:05:31.8599,14.324699878692627,,1.0,XP.ILL06..EHZ
2017-06-02,19:05:17.5604,2017-06-02,19:05:32.1121,14.551699876785278,,1.0,XP.ILL07..EHZ
2017-06-02,19:05:17.7369,2017-06-02,19:05:32.2382,14.501299858093262,,1.0,XP.ILL08..EHZ
