startdate,starttime,enddate,endtime,duration,bla,class,network
2017-05-25,05:42:22.3982,2017-05-25,05:42:34.7137,12.315500020980835,,3.0,XP.ILL03..EHZ
2017-05-25,05:42:23.1580,2017-05-25,05:42:36.4331,13.275099992752075,,3.0,XP.ILL04..EHZ
2017-05-25,05:42:23.5578,2017-05-25,05:42:35.1136,11.555799961090088,,3.0,XP.ILL02..EHZ
2017-05-27,05:19:45.4723,2017-05-27,05:20:06.3925,20.920199871063232,,3.0,XP.ILL04..EHZ
2017-05-27,05:19:46.6062,2017-05-27,05:20:07.1862,20.579999923706055,,3.0,XP.ILL02..EHZ
2017-05-29,11:38:56.8763,2017-05-29,11:39:25.6875,28.81119990348816,,3.0,XP.ILL04..EHZ
2017-05-29,14:00:54.9369,2017-05-29,14:01:10.7860,15.849100112915039,,3.0,XP.ILL04..EHZ
2017-05-29,17:55:59.3200,2017-05-29,17:56:18.5881,19.268100023269653,,3.0,XP.ILL04..EHZ
2017-05-29,21:09:05.5236,2017-05-29,21:09:48.0281,42.50449991226196,,3.0,XP.ILL04..EHZ
2017-05-29,21:09:05.7485,2017-05-29,21:09:47.7282,41.9796998500824,,3.0,XP.ILL08..EHZ
2017-05-29,23:17:09.3620,2017-05-29,23:17:40.3125,30.950500011444092,,3.0,XP.ILL04..EHZ
2017-05-29,23:17:10.5698,2017-05-29,23:17:40.6145,30.044700145721436,,3.0,XP.ILL08..EHZ
2017-05-30,03:40:55.9285,2017-05-30,03:41:26.8725,30.944000005722046,,3.0,XP.ILL04..EHZ
2017-05-30,05:50:20.7291,2017-05-30,05:50:54.4622,33.733099937438965,,3.0,XP.ILL04..EHZ
2017-05-30,06:39:09.8314,2017-05-30,06:39:20.3645,10.533100128173828,,3.0,XP.ILL01..EHZ
2017-05-30,06:41:29.6174,2017-05-30,06:42:23.2012,53.583800077438354,,3.0,XP.ILL04..EHZ
2017-05-30,06:42:33.3977,2017-05-30,06:43:01.2642,27.86649990081787,,3.0,XP.ILL03..EHZ
2017-05-30,06:42:37.0644,2017-05-30,06:43:02.9753,25.910900115966797,,3.0,XP.ILL02..EHZ
2017-05-30,06:42:37.3088,2017-05-30,06:43:03.3419,26.033100128173828,,3.0,XP.ILL04..EHZ
2017-05-30,07:03:44.9745,2017-05-30,07:04:31.1887,46.214200019836426,,3.0,XP.ILL04..EHZ
2017-05-30,07:03:46.6399,2017-05-30,07:04:36.3930,49.75309991836548,,3.0,XP.ILL03..EHZ
2017-05-30,07:03:53.0932,2017-05-30,07:04:36.2889,43.19569993019104,,3.0,XP.ILL08..EHZ
2017-05-30,07:03:54.9667,2017-05-30,07:04:36.7052,41.738499879837036,,3.0,XP.ILL02..EHZ
2017-05-30,07:56:55.0192,2017-05-30,07:57:11.4120,16.392799854278564,,3.0,XP.ILL04..EHZ
2017-05-30,09:57:20.1380,2017-05-30,09:57:29.8223,9.684299945831299,,3.0,XP.ILL04..EHZ
2017-05-30,13:43:06.6794,2017-05-30,13:43:58.7877,52.10829997062683,,3.0,XP.ILL08..EHZ
2017-05-30,13:43:07.4828,2017-05-30,13:43:31.7006,24.21779990196228,,3.0,XP.ILL04..EHZ
2017-05-30,14:26:07.9838,2017-05-30,14:26:44.8244,36.84060001373291,,3.0,XP.ILL08..EHZ
2017-05-30,14:26:08.4561,2017-05-30,14:26:40.7310,32.27489995956421,,3.0,XP.ILL04..EHZ
2017-05-30,16:42:20.5689,2017-05-30,16:42:42.4143,21.845399856567383,,3.0,XP.ILL04..EHZ
2017-05-30,17:56:53.8769,2017-05-30,17:57:47.9080,54.031100034713745,,3.0,XP.ILL04..EHZ
2017-05-30,17:56:55.1077,2017-05-30,17:57:56.1542,61.04649996757507,,3.0,XP.ILL08..EHZ
2017-05-30,18:12:59.8856,2017-05-30,18:13:18.7381,18.852499961853027,,3.0,XP.ILL08..EHZ
2017-05-30,18:13:00.1136,2017-05-30,18:13:18.8901,18.77649998664856,,3.0,XP.ILL04..EHZ
2017-05-30,18:13:02.1212,2017-05-30,18:13:14.6545,12.533299922943115,,3.0,XP.ILL03..EHZ
2017-05-30,18:13:03.1656,2017-05-30,18:13:14.7706,11.605000019073486,,3.0,XP.ILL02..EHZ
2017-05-30,19:11:53.0705,2017-05-30,19:12:12.8217,19.751200199127197,,3.0,XP.ILL04..EHZ
2017-05-30,19:24:05.7593,2017-05-30,19:24:34.6670,28.907700061798096,,3.0,XP.ILL04..EHZ
2017-05-30,19:24:06.2218,2017-05-30,19:24:35.5150,29.29320001602173,,3.0,XP.ILL08..EHZ
2017-05-30,19:24:06.2989,2017-05-30,19:24:32.2773,25.978399991989136,,3.0,XP.ILL03..EHZ
2017-05-30,19:24:07.0698,2017-05-30,19:24:33.9732,26.903400182724,,3.0,XP.ILL02..EHZ
2017-05-30,20:01:33.0993,2017-05-30,20:02:09.4833,36.384000062942505,,3.0,XP.ILL04..EHZ
2017-05-30,20:01:34.5914,2017-05-30,20:02:09.2538,34.662400007247925,,3.0,XP.ILL08..EHZ
2017-05-30,20:04:26.8575,2017-05-30,20:04:51.6374,24.779899835586548,,3.0,XP.ILL08..EHZ
2017-05-30,20:04:27.7726,2017-05-30,20:04:52.6933,24.920700073242188,,3.0,XP.ILL04..EHZ
2017-05-30,20:04:29.6734,2017-05-30,20:04:50.1590,20.485599994659424,,3.0,XP.ILL03..EHZ
2017-05-30,20:04:30.0958,2017-05-30,20:04:52.6933,22.59750008583069,,3.0,XP.ILL02..EHZ
2017-05-30,21:35:16.3301,2017-05-30,21:35:42.9878,26.657699823379517,,3.0,XP.ILL08..EHZ
2017-05-30,21:35:17.0243,2017-05-30,21:35:43.1961,26.171799898147583,,3.0,XP.ILL04..EHZ
2017-05-30,23:01:40.6944,2017-05-30,23:01:54.7503,14.055899858474731,,3.0,XP.ILL08..EHZ
2017-05-30,23:30:38.4203,2017-05-30,23:31:04.3849,25.964600086212158,,3.0,XP.ILL04..EHZ
2017-05-30,23:41:39.9690,2017-05-30,23:42:22.7896,42.82059979438782,,3.0,XP.ILL04..EHZ
2017-05-30,23:41:41.4662,2017-05-30,23:42:32.2720,50.80579996109009,,3.0,XP.ILL08..EHZ
2017-05-31,09:26:52.5869,2017-05-31,09:27:40.7454,48.15849995613098,,3.0,XP.ILL08..EHZ
2017-05-31,09:26:53.8810,2017-05-31,09:27:38.4345,44.553499937057495,,3.0,XP.ILL04..EHZ
2017-05-31,09:31:15.8647,2017-05-31,09:32:15.5473,59.682600021362305,,3.0,XP.ILL04..EHZ
2017-05-31,09:31:16.7639,2017-05-31,09:32:16.2217,59.45779991149902,,3.0,XP.ILL08..EHZ
2017-05-31,15:14:02.9500,2017-05-31,15:14:16.7337,13.783699989318848,,3.0,XP.ILL04..EHZ
2017-06-01,04:07:14.3219,2017-06-01,04:07:42.6177,28.29580020904541,,3.0,XP.ILL08..EHZ
2017-06-02,02:39:27.7054,2017-06-02,02:39:33.8411,6.135699987411499,,3.0,XP.ILL04..EHZ
2017-06-02,02:39:27.9054,2017-06-02,02:39:34.4413,6.535899877548218,,3.0,XP.ILL05..EHZ
2017-06-02,20:18:34.8554,2017-06-02,20:18:54.0492,19.19379997253418,,3.0,XP.ILL06..EHZ
2017-06-03,00:01:52.9971,2017-06-03,00:01:57.9189,4.921799898147583,,3.0,XP.ILL05..EHZ
2017-06-03,00:02:10.3286,2017-06-03,00:02:24.8345,14.505900144577026,,3.0,XP.ILL08..EHZ
2017-06-03,00:02:10.3601,2017-06-03,00:02:26.3482,15.988100051879883,,3.0,XP.ILL06..EHZ
2017-06-03,00:02:10.5809,2017-06-03,00:02:25.3075,14.726599931716919,,3.0,XP.ILL02..EHZ
2017-06-03,00:02:10.7070,2017-06-03,00:02:23.6047,12.897700071334839,,3.0,XP.ILL01..EHZ
2017-06-03,00:02:11.0539,2017-06-03,00:02:25.9697,14.915800094604492,,3.0,XP.ILL07..EHZ
2017-06-03,00:02:11.9053,2017-06-03,00:02:24.5822,12.676900148391724,,3.0,XP.ILL05..EHZ
2017-06-03,00:02:12.5360,2017-06-03,00:02:25.2129,12.676899909973145,,3.0,XP.ILL03..EHZ
2017-06-03,00:02:13.1037,2017-06-03,00:02:24.9291,11.825400114059448,,3.0,XP.ILL04..EHZ
2017-06-03,08:09:36.4389,2017-06-03,08:10:13.4277,36.988800048828125,,3.0,XP.ILL05..EHZ
2017-06-03,08:09:36.6515,2017-06-03,08:10:13.3214,36.66989994049072,,3.0,XP.ILL08..EHZ
2017-06-03,08:09:37.6081,2017-06-03,08:10:14.8094,37.20130014419556,,3.0,XP.ILL04..EHZ
